 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	14.500	10.500	1.000	1.000	1.000	1.000
2	7	47.214	11.071	0.943	1.936	0.517	0.933
3	4	125.000	11.500	0.857	2.031	0.492	0.800
4	8	163.125	11.750	0.914	1.435	0.697	0.842
5	1	199.500	10.500	1.000	1.000	1.000	1.000
6	3	271.500	10.500	0.967	3.000	0.333	1.000
7	5	301.300	10.900	1.000	1.553	0.644	0.909
8	2	310.000	10.500	1.000	2.000	0.500	1.000
9	10	334.800	11.500	0.806	1.151	0.869	0.800
10	1	358.500	10.500	1.000	1.000	1.000	1.000
11	3	386.500	10.500	0.967	3.000	0.333	1.000
12	3	404.500	10.500	0.967	3.000	0.333	1.000
13	15	500.500	11.500	1.000	1.667	0.600	1.000
14	4	510.000	10.500	0.740	4.000	0.250	1.000
15	2	542.000	10.500	1.000	2.000	0.500	1.000
16	5	586.700	10.900	1.000	1.553	0.644	0.909
17	10	614.000	11.300	1.000	1.327	0.753	0.909
18	2	623.000	10.500	1.000	2.000	0.500	1.000
19	9	632.389	11.833	1.000	1.340	0.746	0.857
20	2	644.000	10.500	1.000	2.000	0.500	1.000
21	4	684.000	10.500	0.740	4.000	0.250	1.000
22	2	706.000	10.500	1.000	2.000	0.500	1.000
23	3	719.167	10.833	1.000	1.464	0.683	0.857
24	1	801.500	10.500	1.000	1.000	1.000	1.000
25	6	820.000	10.833	0.916	1.809	0.553	0.857
26	1	874.500	10.500	1.000	1.000	1.000	1.000
27	3	897.500	10.500	0.967	3.000	0.333	1.000
28	1	909.500	10.500	1.000	1.000	1.000	1.000
29	2	933.000	10.500	1.000	2.000	0.500	1.000
30	1	1005.500	10.500	1.000	1.000	1.000	1.000
31	2	890.500	12.000	1.000	2.000	0.500	1.000
32	2	1011.000	11.500	1.000	2.000	0.500	1.000
33	5	25.100	13.300	1.000	1.553	0.644	0.909
34	12	521.833	13.750	1.000	1.135	0.881	0.857
35	16	729.938	13.875	0.958	1.233	0.811	0.914
36	2	648.500	14.000	1.000	2.000	0.500	1.000
37	2	674.500	14.000	1.000	2.000	0.500	1.000
38	1	745.500	13.500	1.000	1.000	1.000	1.000
39	12	987.833	15.000	1.000	1.281	0.781	0.857
40	7	230.500	15.500	1.000	1.596	0.626	0.875
41	4	288.000	15.000	1.000	1.000	1.000	1.000
42	12	385.583	16.667	0.967	1.579	0.633	0.889
43	2	467.000	14.500	1.000	2.000	0.500	1.000
44	5	172.100	16.700	1.000	1.553	0.644	0.909
45	1	352.500	15.500	1.000	1.000	1.000	1.000
46	1	947.500	15.500	1.000	1.000	1.000	1.000
47	1	153.500	16.500	1.000	1.000	1.000	1.000
48	1	577.500	16.500	1.000	1.000	1.000	1.000
