 	Area	XM	YM	Circ.	AR	Round	Solidity
1	6	114.333	11.667	1.000	1.291	0.775	0.800
2	3	204.500	10.500	0.967	3.000	0.333	1.000
3	5	219.700	10.900	1.000	1.553	0.644	0.909
4	2	259.500	11.000	1.000	2.000	0.500	1.000
5	4	354.500	10.750	1.000	1.468	0.681	0.800
6	5	377.100	10.700	0.764	2.188	0.457	0.769
7	1	399.500	10.500	1.000	1.000	1.000	1.000
8	8	417.375	11.375	1.000	1.229	0.814	0.941
9	2	504.000	10.500	1.000	2.000	0.500	1.000
10	11	529.409	12.773	0.887	1.892	0.528	0.880
11	2	559.500	11.000	1.000	2.000	0.500	1.000
12	7	568.214	11.071	0.943	1.936	0.517	0.933
13	12	588.500	10.917	0.664	3.156	0.317	0.923
14	5	615.500	10.500	0.599	5.000	0.200	1.000
15	6	640.667	11.333	1.000	1.291	0.775	0.800
16	1	697.500	10.500	1.000	1.000	1.000	1.000
17	2	734.500	11.000	1.000	2.000	0.500	1.000
18	1	869.500	10.500	1.000	1.000	1.000	1.000
19	2	937.500	11.000	1.000	2.000	0.500	1.000
20	3	858.833	11.833	1.000	1.464	0.683	0.857
21	4	246.000	13.000	1.000	1.000	1.000	1.000
22	5	952.700	13.100	1.000	1.553	0.644	0.909
23	9	1009.389	15.833	1.000	1.340	0.746	0.857
24	1	344.500	15.500	1.000	1.000	1.000	1.000
25	15	684.367	17.033	0.976	1.759	0.569	0.882
26	6	901.333	16.667	1.000	1.291	0.775	0.800
27	19	54.132	17.974	1.000	1.343	0.744	0.884
28	12	305.083	17.750	1.000	1.281	0.780	0.857
29	3	391.167	16.833	1.000	1.464	0.683	0.857
30	1	648.500	16.500	1.000	1.000	1.000	1.000
31	1	414.500	17.500	1.000	1.000	1.000	1.000
32	2	763.000	18.500	1.000	2.000	0.500	1.000
33	5	449.300	20.100	1.000	1.553	0.644	0.909
34	14	784.214	21.429	0.993	1.437	0.696	0.824
35	1	927.500	19.500	1.000	1.000	1.000	1.000
