 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	28.500	10.500	1.000	1.000	1.000	1.000
2	2	58.000	10.500	1.000	2.000	0.500	1.000
3	1	86.500	10.500	1.000	1.000	1.000	1.000
4	3	134.500	10.500	0.967	3.000	0.333	1.000
5	1	243.500	10.500	1.000	1.000	1.000	1.000
6	2	249.000	10.500	1.000	2.000	0.500	1.000
7	1	328.500	10.500	1.000	1.000	1.000	1.000
8	4	439.000	11.000	1.000	1.000	1.000	1.000
9	3	443.500	10.500	0.967	3.000	0.333	1.000
10	13	453.885	12.269	1.000	1.093	0.915	0.897
11	2	468.000	10.500	1.000	2.000	0.500	1.000
12	6	483.500	11.000	1.000	1.500	0.667	1.000
13	13	502.269	11.346	0.956	1.796	0.557	0.929
14	10	546.500	11.000	0.925	2.500	0.400	1.000
15	1	631.500	10.500	1.000	1.000	1.000	1.000
16	2	666.000	10.500	1.000	2.000	0.500	1.000
17	4	719.000	11.000	1.000	1.000	1.000	1.000
18	16	750.500	12.000	1.000	1.209	0.827	0.889
19	4	761.000	11.000	1.000	1.000	1.000	1.000
20	3	863.500	10.500	0.967	3.000	0.333	1.000
21	3	890.833	10.833	1.000	1.464	0.683	0.857
22	12	952.000	10.750	0.415	4.945	0.202	0.800
23	8	964.500	10.875	0.820	2.232	0.448	0.889
24	3	235.833	11.833	1.000	1.464	0.683	0.857
25	9	521.389	13.056	1.000	1.817	0.550	0.857
26	8	1010.375	13.375	1.000	1.229	0.814	0.941
27	7	537.643	14.786	1.000	1.380	0.725	0.875
28	1	843.500	13.500	1.000	1.000	1.000	1.000
29	1	897.500	13.500	1.000	1.000	1.000	1.000
30	13	992.962	15.346	1.000	1.148	0.871	0.897
31	8	1002.000	14.000	1.000	2.000	0.500	1.000
32	5	11.700	14.900	1.000	1.553	0.644	0.909
33	4	675.000	15.000	1.000	1.000	1.000	1.000
34	2	567.000	15.500	1.000	2.000	0.500	1.000
35	8	975.625	16.375	1.000	1.229	0.814	0.941
36	8	358.125	18.000	0.785	2.014	0.496	0.727
37	9	558.944	17.833	1.000	1.536	0.651	0.857
38	5	571.700	16.900	1.000	1.553	0.644	0.909
39	18	586.278	18.000	1.000	1.218	0.821	0.947
40	4	47.000	18.000	1.000	1.000	1.000	1.000
41	1	338.500	17.500	1.000	1.000	1.000	1.000
42	8	880.250	19.125	0.914	1.605	0.623	0.800
43	1	983.500	17.500	1.000	1.000	1.000	1.000
44	4	207.250	19.250	0.857	2.000	0.500	0.800
45	8	321.625	19.625	1.000	1.229	0.814	0.941
46	3	426.833	19.167	1.000	1.464	0.683	0.857
47	3	853.167	19.167	1.000	1.464	0.683	0.857
48	6	726.500	21.000	1.000	1.500	0.667	1.000
49	1	756.500	20.500	1.000	1.000	1.000	1.000
50	6	890.000	21.500	1.000	1.500	0.667	1.000
51	7	613.929	23.786	0.943	1.936	0.517	0.933
52	12	1001.083	23.333	0.967	1.679	0.596	0.923
53	2	1013.500	23.000	1.000	2.000	0.500	1.000
54	5	968.100	24.700	1.000	1.553	0.644	0.909
55	1	17.500	24.500	1.000	1.000	1.000	1.000
56	5	633.700	24.900	1.000	1.553	0.644	0.909
57	2	42.000	25.500	1.000	2.000	0.500	1.000
58	11	450.682	26.682	0.976	1.035	0.966	0.846
59	6	489.000	27.000	0.809	2.082	0.480	0.857
60	5	497.700	27.100	1.000	1.553	0.644	0.909
61	1	198.500	27.500	1.000	1.000	1.000	1.000
62	4	401.000	28.500	0.857	2.031	0.492	0.800
63	4	774.000	28.000	1.000	1.000	1.000	1.000
64	3	248.500	29.500	0.809	3.000	0.333	1.000
65	7	555.214	28.929	0.943	1.936	0.517	0.933
66	5	302.900	30.300	1.000	1.553	0.644	0.909
67	4	523.000	30.000	1.000	1.000	1.000	1.000
68	2	715.500	30.000	1.000	2.000	0.500	1.000
69	1	26.500	31.500	1.000	1.000	1.000	1.000
70	8	440.000	33.000	1.000	2.000	0.500	1.000
71	4	603.500	32.250	1.000	1.468	0.681	0.800
72	2	991.000	31.500	1.000	2.000	0.500	1.000
73	1	63.500	32.500	1.000	1.000	1.000	1.000
74	5	652.300	32.900	1.000	1.553	0.644	0.909
75	4	698.000	33.000	1.000	1.000	1.000	1.000
76	3	724.833	32.833	1.000	1.464	0.683	0.857
77	1	1005.500	32.500	1.000	1.000	1.000	1.000
78	7	120.214	33.929	0.943	1.936	0.517	0.933
79	2	918.000	34.000	0.785	2.646	0.378	0.667
80	14	928.714	34.929	0.811	1.479	0.676	0.757
81	6	329.667	35.333	1.000	1.291	0.775	0.800
82	8	457.625	35.375	1.000	1.229	0.814	0.941
83	10	466.700	36.000	1.000	1.327	0.753	0.909
84	3	754.167	34.833	1.000	1.464	0.683	0.857
85	4	973.000	35.000	1.000	1.000	1.000	1.000
86	2	190.000	35.500	1.000	2.000	0.500	1.000
87	2	354.500	36.000	1.000	2.000	0.500	1.000
88	2	493.000	35.500	1.000	2.000	0.500	1.000
