 	Area	XM	YM	Circ.	AR	Round	Solidity
1	13	85.346	11.577	0.922	1.306	0.766	0.839
2	7	168.786	10.929	1.000	1.936	0.517	0.933
3	8	188.375	11.375	1.000	1.229	0.814	0.941
4	2	205.500	11.000	1.000	2.000	0.500	1.000
5	6	228.000	11.000	0.916	2.082	0.480	0.857
6	1	239.500	10.500	1.000	1.000	1.000	1.000
7	1	251.500	10.500	1.000	1.000	1.000	1.000
8	1	299.500	10.500	1.000	1.000	1.000	1.000
9	1	301.500	10.500	1.000	1.000	1.000	1.000
10	1	351.500	10.500	1.000	1.000	1.000	1.000
11	3	367.833	11.167	1.000	1.464	0.683	0.857
12	8	389.500	10.875	0.820	2.232	0.448	0.889
13	1	417.500	10.500	1.000	1.000	1.000	1.000
14	9	486.278	10.944	0.923	2.386	0.419	0.947
15	6	623.833	11.167	0.916	1.593	0.628	0.857
16	3	685.500	10.500	0.967	3.000	0.333	1.000
17	18	704.278	12.056	0.965	1.639	0.610	0.878
18	6	726.333	11.167	0.916	1.124	0.890	0.800
19	9	825.167	11.389	1.000	1.340	0.746	0.857
20	4	841.500	10.750	1.000	1.468	0.681	0.800
21	3	974.167	10.833	1.000	1.464	0.683	0.857
22	7	101.214	12.500	1.000	1.069	0.936	0.875
23	5	139.700	11.900	1.000	1.553	0.644	0.909
24	4	151.000	12.000	1.000	1.000	1.000	1.000
25	5	476.100	12.300	1.000	1.553	0.644	0.909
26	3	773.500	11.500	0.967	3.000	0.333	1.000
27	7	658.643	13.214	1.000	1.380	0.725	0.875
28	9	767.611	13.278	1.000	1.539	0.650	0.900
29	4	398.250	14.500	0.857	1.468	0.681	0.800
30	4	559.000	14.000	1.000	1.000	1.000	1.000
31	8	276.250	15.375	0.914	1.939	0.516	0.842
32	9	319.167	15.500	1.000	1.542	0.648	0.857
33	2	527.500	15.000	1.000	2.000	0.500	1.000
34	3	255.500	16.500	0.809	3.000	0.333	1.000
35	2	1013.500	16.000	1.000	2.000	0.500	1.000
36	9	694.389	17.833	1.000	1.340	0.746	0.857
