 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	17.500	11.500	0.809	3.000	0.333	1.000
2	1	25.500	10.500	1.000	1.000	1.000	1.000
3	12	98.000	11.500	1.000	1.333	0.750	1.000
4	5	117.300	10.900	1.000	1.553	0.644	0.909
5	1	235.500	10.500	1.000	1.000	1.000	1.000
6	4	282.250	11.250	0.857	2.000	0.500	0.800
7	11	291.955	11.045	0.715	2.053	0.487	0.815
8	3	329.500	10.500	0.967	3.000	0.333	1.000
9	1	346.500	10.500	1.000	1.000	1.000	1.000
10	8	404.000	11.000	1.000	2.000	0.500	1.000
11	3	444.167	10.833	1.000	1.464	0.683	0.857
12	1	510.500	10.500	1.000	1.000	1.000	1.000
13	4	674.000	11.000	1.000	1.000	1.000	1.000
14	2	685.000	10.500	1.000	2.000	0.500	1.000
15	6	701.000	11.500	1.000	1.500	0.667	1.000
16	19	710.763	13.553	0.681	2.184	0.458	0.776
17	13	777.192	11.192	0.779	1.954	0.512	0.867
18	1	792.500	10.500	1.000	1.000	1.000	1.000
19	2	868.000	10.500	1.000	2.000	0.500	1.000
20	3	886.500	11.500	0.809	3.000	0.333	1.000
21	1	904.500	10.500	1.000	1.000	1.000	1.000
22	3	943.500	10.500	0.967	3.000	0.333	1.000
23	7	181.214	12.500	1.000	1.069	0.936	0.875
24	7	201.500	12.214	1.000	1.069	0.936	0.875
25	3	542.167	13.167	1.000	1.464	0.683	0.857
26	1	850.500	12.500	1.000	1.000	1.000	1.000
27	4	80.000	14.000	1.000	1.000	1.000	1.000
28	1	353.500	13.500	1.000	1.000	1.000	1.000
29	9	662.944	14.611	1.000	1.817	0.550	0.857
30	1	146.500	14.500	1.000	1.000	1.000	1.000
31	7	741.071	15.214	0.898	1.668	0.600	0.778
32	1	825.500	14.500	1.000	1.000	1.000	1.000
33	2	914.000	14.500	1.000	2.000	0.500	1.000
34	3	930.500	14.500	0.967	3.000	0.333	1.000
35	7	62.500	16.214	1.000	1.069	0.936	0.875
36	1	498.500	15.500	1.000	1.000	1.000	1.000
37	8	680.625	16.625	1.000	1.229	0.814	0.941
38	11	985.955	17.136	1.000	1.139	0.878	0.815
39	8	995.375	16.375	1.000	1.229	0.814	0.941
40	3	137.500	16.500	0.967	3.000	0.333	1.000
41	1	362.500	16.500	1.000	1.000	1.000	1.000
42	2	34.000	17.500	1.000	2.000	0.500	1.000
43	1	757.500	17.500	1.000	1.000	1.000	1.000
44	4	170.250	19.250	0.857	2.000	0.500	0.800
45	2	410.000	19.500	1.000	2.000	0.500	1.000
46	1	551.500	19.500	1.000	1.000	1.000	1.000
47	4	703.000	20.000	1.000	1.000	1.000	1.000
48	2	877.500	20.000	1.000	2.000	0.500	1.000
49	6	96.667	21.333	1.000	1.291	0.775	0.800
50	1	293.500	20.500	1.000	1.000	1.000	1.000
51	3	507.833	20.833	1.000	1.464	0.683	0.857
52	4	690.000	21.000	1.000	1.000	1.000	1.000
53	3	237.167	22.167	1.000	1.464	0.683	0.857
54	5	789.700	22.100	1.000	1.553	0.644	0.909
55	3	818.833	22.167	1.000	1.464	0.683	0.857
56	12	497.750	23.917	1.000	1.281	0.780	0.857
57	3	661.167	23.167	1.000	1.464	0.683	0.857
58	2	573.500	24.000	1.000	2.000	0.500	1.000
59	3	767.833	23.833	1.000	1.464	0.683	0.857
60	13	892.115	24.423	0.846	1.829	0.547	0.839
61	2	921.000	23.500	1.000	2.000	0.500	1.000
62	6	142.667	25.333	1.000	1.291	0.775	0.800
63	1	162.500	24.500	1.000	1.000	1.000	1.000
64	2	419.000	24.500	1.000	2.000	0.500	1.000
65	6	758.333	25.667	1.000	1.291	0.775	0.800
66	1	31.500	25.500	1.000	1.000	1.000	1.000
67	4	913.250	26.500	0.857	1.468	0.681	0.800
68	7	315.929	27.786	0.943	1.936	0.517	0.933
69	1	1008.500	26.500	1.000	1.000	1.000	1.000
70	3	49.500	27.500	0.967	3.000	0.333	1.000
71	4	555.000	28.000	1.000	1.000	1.000	1.000
