 	Area	XM	YM	Circ.	AR	Round	Solidity
1	4	12.000	11.000	1.000	1.000	1.000	1.000
2	4	107.000	10.500	0.740	4.000	0.250	1.000
3	2	127.000	10.500	1.000	2.000	0.500	1.000
4	12	233.333	11.833	0.931	1.606	0.623	0.774
5	5	324.900	11.300	1.000	1.553	0.644	0.909
6	3	352.167	10.833	1.000	1.464	0.683	0.857
7	1	370.500	10.500	1.000	1.000	1.000	1.000
8	21	409.881	11.500	0.265	7.165	0.140	0.583
9	3	424.500	10.500	0.967	3.000	0.333	1.000
10	4	469.000	10.500	0.740	4.000	0.250	1.000
11	5	492.300	10.900	1.000	1.553	0.644	0.909
12	7	548.214	11.500	1.000	1.069	0.936	0.875
13	6	564.000	10.833	0.916	1.809	0.553	0.857
14	1	595.500	10.500	1.000	1.000	1.000	1.000
15	11	603.227	10.955	0.741	2.858	0.350	0.957
16	6	739.500	11.000	1.000	1.500	0.667	1.000
17	13	754.500	11.038	0.646	2.488	0.402	0.812
18	7	772.214	10.929	0.943	1.936	0.517	0.933
19	2	871.000	10.500	1.000	2.000	0.500	1.000
20	8	920.000	11.000	1.000	2.000	0.500	1.000
21	1	928.500	10.500	1.000	1.000	1.000	1.000
22	2	953.000	10.500	1.000	2.000	0.500	1.000
23	8	982.750	11.875	0.914	1.605	0.623	0.800
24	3	434.833	13.167	1.000	1.464	0.683	0.857
25	12	458.000	14.000	1.000	1.000	1.000	0.857
26	3	500.833	13.167	1.000	1.464	0.683	0.857
27	2	521.000	12.500	1.000	2.000	0.500	1.000
28	4	706.000	13.000	1.000	1.000	1.000	1.000
29	4	66.000	14.000	1.000	1.000	1.000	1.000
30	12	344.000	14.833	1.000	1.281	0.781	0.857
31	1	392.500	14.500	1.000	1.000	1.000	1.000
32	1	556.500	14.500	1.000	1.000	1.000	1.000
33	2	817.500	15.000	1.000	2.000	0.500	1.000
34	6	510.000	16.500	1.000	1.500	0.667	1.000
35	7	687.500	16.786	1.000	1.069	0.936	0.875
36	3	762.167	16.167	1.000	1.464	0.683	0.857
37	13	333.115	17.885	1.000	1.159	0.863	0.897
38	6	539.333	17.333	1.000	1.291	0.775	0.800
39	4	566.500	18.000	0.645	4.000	0.250	1.000
40	3	593.833	17.167	1.000	1.464	0.683	0.857
41	2	797.500	17.000	1.000	2.000	0.500	1.000
42	4	669.750	18.250	0.857	2.000	0.500	0.800
43	6	748.500	18.000	1.000	1.500	0.667	1.000
44	5	426.300	18.900	1.000	1.553	0.644	0.909
45	5	467.300	18.900	1.000	1.553	0.644	0.909
46	8	32.000	21.000	1.000	2.000	0.500	1.000
47	1	243.500	19.500	1.000	1.000	1.000	1.000
48	6	769.333	20.667	1.000	1.291	0.775	0.800
49	4	786.000	20.000	1.000	1.000	1.000	1.000
50	2	849.000	19.500	1.000	2.000	0.500	1.000
51	9	324.167	21.944	1.000	1.536	0.651	0.857
52	12	407.833	20.833	0.471	4.376	0.229	0.774
53	2	519.500	21.000	1.000	2.000	0.500	1.000
54	1	660.500	20.500	1.000	1.000	1.000	1.000
55	4	731.000	21.000	1.000	1.000	1.000	1.000
56	7	935.357	21.929	0.800	1.387	0.721	0.737
57	2	139.000	21.500	1.000	2.000	0.500	1.000
58	7	230.214	22.500	1.000	1.069	0.936	0.875
59	6	753.167	22.167	0.916	1.593	0.628	0.857
60	6	982.167	23.000	0.809	1.809	0.553	0.857
61	8	348.625	24.250	0.914	1.939	0.516	0.842
62	8	457.625	23.375	1.000	1.229	0.814	0.941
63	1	476.500	22.500	1.000	1.000	1.000	1.000
64	3	23.167	24.500	0.643	2.702	0.370	0.667
65	6	340.167	25.000	0.809	1.809	0.553	0.857
66	1	614.500	23.500	1.000	1.000	1.000	1.000
67	9	368.167	26.056	1.000	1.536	0.651	0.857
68	2	826.000	24.500	1.000	2.000	0.500	1.000
69	2	13.000	25.500	1.000	2.000	0.500	1.000
70	7	539.500	26.786	1.000	1.069	0.936	0.875
71	4	741.000	26.500	0.857	2.031	0.492	0.800
72	6	59.000	27.500	1.000	1.500	0.667	1.000
73	3	127.833	27.167	1.000	1.464	0.683	0.857
74	11	378.136	28.045	1.000	1.139	0.878	0.815
75	7	634.929	27.643	0.898	1.387	0.721	0.737
76	8	776.500	27.750	0.914	1.554	0.644	0.800
77	3	97.500	28.500	0.809	3.000	0.333	1.000
78	5	106.900	28.700	1.000	1.553	0.644	0.909
79	14	118.000	29.643	0.993	1.344	0.744	0.824
80	3	299.833	27.833	1.000	1.464	0.683	0.857
81	13	332.654	28.962	1.000	1.148	0.871	0.897
82	17	356.735	30.324	0.763	2.476	0.404	0.791
83	1	793.500	27.500	1.000	1.000	1.000	1.000
84	7	844.500	28.214	1.000	1.069	0.936	0.875
85	3	80.833	29.167	1.000	1.464	0.683	0.857
86	1	426.500	28.500	1.000	1.000	1.000	1.000
87	14	748.500	29.929	0.993	1.017	0.983	0.824
88	1	14.500	29.500	1.000	1.000	1.000	1.000
89	2	136.500	30.000	1.000	2.000	0.500	1.000
90	7	408.214	29.929	0.943	1.936	0.517	0.933
91	1	578.500	29.500	1.000	1.000	1.000	1.000
92	4	606.250	30.500	0.857	1.468	0.681	0.800
