 	Area	XM	YM	Circ.	AR	Round	Solidity
1	4	208.000	10.500	0.740	4.000	0.250	1.000
2	6	321.000	10.500	0.503	6.000	0.167	1.000
3	4	352.000	10.500	0.740	4.000	0.250	1.000
4	7	375.214	10.929	0.943	1.936	0.517	0.933
5	4	454.500	10.750	1.000	1.468	0.681	0.800
6	11	614.864	11.409	1.000	1.372	0.729	0.957
7	1	740.500	10.500	1.000	1.000	1.000	1.000
8	8	760.250	11.125	0.914	1.435	0.697	0.842
9	5	789.100	10.700	0.764	2.188	0.457	0.769
10	4	828.000	10.500	0.740	4.000	0.250	1.000
11	5	839.900	10.700	0.764	2.188	0.457	0.769
12	6	875.667	11.667	1.000	1.291	0.775	0.800
13	3	910.500	10.500	0.967	3.000	0.333	1.000
14	1	948.500	10.500	1.000	1.000	1.000	1.000
15	10	1011.000	11.700	1.000	1.384	0.723	0.909
16	2	117.500	12.000	1.000	2.000	0.500	1.000
17	2	248.500	12.000	1.000	2.000	0.500	1.000
18	7	515.643	12.786	1.000	1.380	0.725	0.875
19	1	1003.500	11.500	1.000	1.000	1.000	1.000
20	5	398.100	13.700	1.000	1.553	0.644	0.909
21	1	490.500	12.500	1.000	1.000	1.000	1.000
22	3	884.167	14.167	1.000	1.464	0.683	0.857
23	6	930.000	14.500	1.000	1.500	0.667	1.000
24	5	77.700	15.100	1.000	1.553	0.644	0.909
25	1	576.500	14.500	1.000	1.000	1.000	1.000
26	4	956.000	15.000	1.000	1.000	1.000	1.000
27	2	977.000	14.500	1.000	2.000	0.500	1.000
28	5	506.700	16.100	1.000	1.553	0.644	0.909
29	3	204.833	18.167	1.000	1.464	0.683	0.857
30	1	722.500	17.500	1.000	1.000	1.000	1.000
31	4	179.000	19.000	1.000	1.000	1.000	1.000
32	1	194.500	18.500	1.000	1.000	1.000	1.000
33	1	305.500	18.500	1.000	1.000	1.000	1.000
34	2	587.500	19.000	1.000	2.000	0.500	1.000
35	3	762.167	19.167	1.000	1.464	0.683	0.857
36	3	482.167	19.833	1.000	1.464	0.683	0.857
37	2	603.500	20.000	1.000	2.000	0.500	1.000
38	2	624.500	20.000	1.000	2.000	0.500	1.000
39	1	121.500	20.500	1.000	1.000	1.000	1.000
40	4	389.000	21.000	1.000	1.000	1.000	1.000
41	4	659.750	21.500	0.857	1.468	0.681	0.800
42	9	1012.500	22.056	0.726	1.279	0.782	0.750
43	5	372.100	22.300	1.000	1.553	0.644	0.909
44	12	977.833	23.167	1.000	1.651	0.606	0.889
45	5	37.100	23.700	1.000	1.553	0.644	0.909
46	4	578.000	23.000	1.000	1.000	1.000	1.000
47	7	614.500	23.786	1.000	1.069	0.936	0.875
48	1	634.500	22.500	1.000	1.000	1.000	1.000
