 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	12.500	11.000	1.000	2.000	0.500	1.000
2	8	28.750	11.750	0.914	1.416	0.706	0.800
3	2	45.000	10.500	1.000	2.000	0.500	1.000
4	2	177.000	10.500	1.000	2.000	0.500	1.000
5	4	197.000	10.500	0.740	4.000	0.250	1.000
6	11	306.773	11.227	0.887	1.603	0.624	0.880
7	8	372.500	10.875	0.820	2.232	0.448	0.889
8	2	424.000	10.500	1.000	2.000	0.500	1.000
9	4	432.000	11.000	1.000	1.000	1.000	1.000
10	11	454.591	11.682	0.976	1.772	0.564	0.846
11	9	479.944	11.611	1.000	1.817	0.550	0.857
12	1	501.500	10.500	1.000	1.000	1.000	1.000
13	1	522.500	10.500	1.000	1.000	1.000	1.000
14	2	545.000	10.500	1.000	2.000	0.500	1.000
15	5	570.500	10.500	0.599	5.000	0.200	1.000
16	18	595.000	11.444	0.526	3.695	0.271	0.750
17	1	617.500	10.500	1.000	1.000	1.000	1.000
18	3	665.833	10.833	1.000	1.464	0.683	0.857
19	2	688.000	10.500	1.000	2.000	0.500	1.000
20	6	720.000	10.833	0.916	1.809	0.553	0.857
21	5	762.300	10.900	1.000	1.553	0.644	0.909
22	4	781.000	11.000	1.000	1.000	1.000	1.000
23	3	826.500	10.500	0.967	3.000	0.333	1.000
24	4	882.000	10.500	0.740	4.000	0.250	1.000
25	2	909.000	10.500	1.000	2.000	0.500	1.000
26	8	553.750	12.625	1.000	1.939	0.516	0.842
27	3	755.500	12.500	0.809	3.000	0.333	1.000
28	4	1005.000	12.000	1.000	1.000	1.000	1.000
29	4	96.000	13.000	1.000	1.000	1.000	1.000
30	1	230.500	12.500	1.000	1.000	1.000	1.000
31	18	360.500	14.611	0.965	1.765	0.566	0.878
32	5	381.900	13.300	1.000	1.553	0.644	0.909
33	18	412.000	14.111	0.965	1.672	0.598	0.878
34	11	534.045	13.682	0.976	1.450	0.689	0.846
35	9	580.722	14.056	0.884	1.158	0.864	0.750
36	10	510.800	14.100	0.806	1.894	0.528	0.833
37	4	267.000	15.000	1.000	1.000	1.000	1.000
38	2	315.500	15.000	1.000	2.000	0.500	1.000
39	16	443.188	16.312	1.000	1.519	0.658	0.914
40	7	462.643	14.786	0.718	2.423	0.413	0.824
41	10	106.000	16.500	1.000	1.551	0.645	0.909
42	6	392.000	16.500	1.000	1.500	0.667	1.000
43	11	420.955	16.864	1.000	1.139	0.878	0.815
44	11	490.864	16.318	0.431	4.580	0.218	0.647
45	2	797.000	15.500	1.000	2.000	0.500	1.000
46	6	816.667	16.667	1.000	1.291	0.775	0.800
47	4	986.000	16.000	1.000	1.000	1.000	1.000
48	7	20.500	17.786	1.000	1.069	0.936	0.875
49	2	39.000	16.500	1.000	2.000	0.500	1.000
50	13	542.500	17.500	1.000	1.735	0.576	0.929
51	7	871.929	17.643	0.898	1.387	0.721	0.737
52	5	522.900	18.100	0.764	2.610	0.383	0.769
53	4	563.750	17.750	0.857	2.000	0.500	0.800
54	3	749.500	17.500	0.967	3.000	0.333	1.000
55	1	296.500	18.500	1.000	1.000	1.000	1.000
56	11	369.773	20.318	0.976	1.147	0.871	0.815
57	6	401.500	19.000	1.000	1.500	0.667	1.000
58	4	473.500	19.000	1.000	2.031	0.492	0.800
59	10	572.000	19.700	1.000	1.384	0.723	0.909
60	4	620.000	19.000	1.000	1.000	1.000	1.000
61	7	825.500	19.500	1.000	1.596	0.626	0.875
62	3	82.500	19.500	0.967	3.000	0.333	1.000
63	8	323.750	20.125	0.914	1.435	0.697	0.842
64	13	551.808	20.500	0.956	1.551	0.645	0.929
65	8	231.625	21.625	1.000	1.229	0.814	0.941
66	2	452.500	21.000	1.000	2.000	0.500	1.000
67	4	503.750	20.750	0.857	2.000	0.500	0.800
68	4	1006.000	21.000	1.000	1.000	1.000	1.000
69	3	216.167	21.833	1.000	1.464	0.683	0.857
70	11	531.773	22.682	0.715	2.923	0.342	0.786
71	4	599.000	22.000	1.000	1.000	1.000	1.000
72	1	779.500	21.500	1.000	1.000	1.000	1.000
73	2	74.000	22.500	1.000	2.000	0.500	1.000
74	4	435.750	23.500	0.857	1.468	0.681	0.800
75	10	460.600	23.600	0.497	4.161	0.240	0.690
