 	Area	XM	YM	Circ.	AR	Round	Solidity
1	14	16.000	12.214	1.000	1.125	0.889	0.933
2	21	79.357	11.929	0.880	1.700	0.588	0.875
3	14	91.714	11.429	0.911	2.030	0.493	0.903
4	1	100.500	10.500	1.000	1.000	1.000	1.000
5	2	129.000	10.500	1.000	2.000	0.500	1.000
6	4	195.000	11.000	1.000	1.000	1.000	1.000
7	3	214.500	10.500	0.967	3.000	0.333	1.000
8	5	291.700	11.700	0.674	2.749	0.364	0.769
9	1	335.500	10.500	1.000	1.000	1.000	1.000
10	3	348.500	10.500	0.967	3.000	0.333	1.000
11	9	495.167	11.389	1.000	1.340	0.746	0.857
12	2	562.000	10.500	1.000	2.000	0.500	1.000
13	10	710.000	11.500	1.000	1.551	0.645	0.909
14	2	834.500	11.000	1.000	2.000	0.500	1.000
15	12	843.250	11.833	1.000	1.135	0.881	0.857
16	3	903.500	10.500	0.967	3.000	0.333	1.000
17	4	917.000	10.500	0.740	4.000	0.250	1.000
18	6	936.000	10.833	0.916	1.809	0.553	0.857
19	1	325.500	11.500	1.000	1.000	1.000	1.000
20	13	384.654	13.423	0.922	1.306	0.766	0.839
21	2	515.500	12.000	1.000	2.000	0.500	1.000
22	9	585.167	12.611	1.000	1.340	0.746	0.857
23	5	749.100	12.300	1.000	1.553	0.644	0.909
24	5	869.700	12.100	1.000	1.553	0.644	0.909
25	4	539.000	14.000	1.000	1.000	1.000	1.000
26	8	997.375	13.875	0.645	2.787	0.359	0.800
27	4	1009.000	14.000	1.000	1.000	1.000	1.000
28	4	244.000	15.000	1.000	1.000	1.000	1.000
29	1	448.500	14.500	1.000	1.000	1.000	1.000
30	4	602.500	15.000	1.000	2.031	0.492	0.800
31	5	978.700	15.100	1.000	1.553	0.644	0.909
32	10	987.000	15.300	1.000	1.327	0.753	0.909
33	11	185.591	16.864	1.000	1.372	0.729	0.957
34	8	774.000	16.500	1.000	1.195	0.837	0.800
35	5	167.100	17.700	1.000	1.553	0.644	0.909
36	2	459.000	17.500	1.000	2.000	0.500	1.000
37	9	395.278	19.056	0.923	2.386	0.419	0.947
38	9	434.056	19.833	1.000	1.536	0.651	0.857
39	11	621.136	19.409	1.000	1.372	0.729	0.957
40	6	93.333	20.667	1.000	1.291	0.775	0.800
41	6	574.500	20.000	1.000	1.500	0.667	1.000
42	1	26.500	20.500	1.000	1.000	1.000	1.000
43	18	508.222	22.333	1.000	1.220	0.819	0.857
44	9	12.389	23.167	1.000	1.340	0.746	0.857
45	3	113.167	21.833	1.000	1.464	0.683	0.857
46	7	1004.643	22.214	0.718	2.423	0.413	0.824
47	6	518.167	23.667	0.686	2.778	0.360	0.706
48	5	867.900	23.300	1.000	1.553	0.644	0.909
49	9	993.833	23.389	1.000	1.340	0.746	0.857
50	1	213.500	23.500	1.000	1.000	1.000	1.000
51	1	657.500	23.500	1.000	1.000	1.000	1.000
52	8	750.500	25.000	0.914	1.195	0.837	0.800
53	9	102.500	25.500	1.000	1.000	1.000	1.000
54	10	240.000	25.500	1.000	1.551	0.645	0.909
55	4	317.000	25.000	1.000	1.000	1.000	1.000
56	1	919.500	24.500	1.000	1.000	1.000	1.000
57	1	55.500	25.500	1.000	1.000	1.000	1.000
58	8	420.625	26.625	1.000	1.229	0.814	0.941
59	2	474.500	26.000	1.000	2.000	0.500	1.000
60	3	701.167	26.167	1.000	1.464	0.683	0.857
61	1	342.500	26.500	1.000	1.000	1.000	1.000
62	7	363.500	27.500	1.000	1.596	0.626	0.875
63	2	159.000	27.500	1.000	2.000	0.500	1.000
64	11	387.591	28.864	1.000	1.372	0.729	0.957
65	3	739.167	28.167	1.000	1.464	0.683	0.857
66	3	298.833	28.833	1.000	1.464	0.683	0.857
67	2	403.000	28.500	1.000	2.000	0.500	1.000
68	5	727.300	28.900	1.000	1.553	0.644	0.909
69	11	830.136	29.409	1.000	1.372	0.729	0.957
70	1	36.500	29.500	1.000	1.000	1.000	1.000
71	1	169.500	29.500	1.000	1.000	1.000	1.000
72	2	666.500	30.000	1.000	2.000	0.500	1.000
73	2	716.500	30.000	1.000	2.000	0.500	1.000
74	2	954.500	30.000	1.000	2.000	0.500	1.000
75	4	71.000	32.000	1.000	1.000	1.000	1.000
76	4	277.500	32.250	1.000	1.468	0.681	0.800
77	9	446.500	32.500	1.000	1.000	1.000	1.000
78	13	1000.885	33.115	1.000	1.159	0.863	0.897
79	14	1011.143	33.143	0.993	1.531	0.653	0.848
80	5	215.900	33.300	1.000	1.553	0.644	0.909
