 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	12.700	10.900	1.000	1.553	0.644	0.909
2	4	109.000	10.500	0.740	4.000	0.250	1.000
3	2	282.000	10.500	1.000	2.000	0.500	1.000
4	2	328.000	10.500	1.000	2.000	0.500	1.000
5	2	338.000	10.500	1.000	2.000	0.500	1.000
6	2	373.000	10.500	1.000	2.000	0.500	1.000
7	12	408.000	11.000	0.809	3.000	0.333	1.000
8	9	426.278	10.944	0.923	2.386	0.419	0.947
9	8	470.500	10.875	0.820	2.232	0.448	0.889
10	7	494.214	10.929	0.943	1.936	0.517	0.933
11	3	543.500	10.500	0.967	3.000	0.333	1.000
12	7	566.786	10.929	1.000	1.936	0.517	0.933
13	12	605.167	11.167	0.719	1.892	0.529	0.828
14	7	741.357	11.214	1.000	1.380	0.725	0.875
15	15	756.633	11.167	0.694	2.389	0.419	0.857
16	1	774.500	10.500	1.000	1.000	1.000	1.000
17	2	864.000	10.500	1.000	2.000	0.500	1.000
18	2	874.000	10.500	1.000	2.000	0.500	1.000
19	4	922.500	11.000	1.000	2.031	0.492	0.800
20	2	954.000	10.500	1.000	2.000	0.500	1.000
21	2	120.000	11.500	1.000	2.000	0.500	1.000
22	5	234.300	12.100	1.000	1.553	0.644	0.909
23	2	520.000	11.500	1.000	2.000	0.500	1.000
24	9	549.944	12.167	1.000	1.536	0.651	0.857
25	11	707.864	13.045	0.976	1.851	0.540	0.846
26	9	819.833	14.500	0.606	3.273	0.306	0.857
27	1	931.500	11.500	1.000	1.000	1.000	1.000
28	1	251.500	12.500	1.000	1.000	1.000	1.000
29	4	417.000	13.000	1.000	1.000	1.000	1.000
30	1	435.500	13.500	1.000	1.000	1.000	1.000
31	13	460.423	14.885	1.000	1.489	0.672	0.788
32	2	527.000	13.500	1.000	2.000	0.500	1.000
33	6	985.167	14.667	0.809	2.237	0.447	0.857
34	3	67.167	14.833	1.000	1.464	0.683	0.857
35	16	346.688	15.688	1.000	1.314	0.761	0.914
36	3	366.500	15.500	0.809	3.000	0.333	1.000
37	1	394.500	14.500	1.000	1.000	1.000	1.000
38	1	502.500	14.500	1.000	1.000	1.000	1.000
39	3	780.833	14.833	1.000	1.464	0.683	0.857
40	2	214.000	15.500	1.000	2.000	0.500	1.000
41	9	511.389	16.833	1.000	1.340	0.746	0.857
42	16	335.500	18.000	1.000	1.209	0.827	0.889
43	3	594.833	17.167	1.000	1.464	0.683	0.857
44	4	689.000	17.000	1.000	1.000	1.000	1.000
45	5	890.900	17.300	1.000	1.553	0.644	0.909
46	4	300.000	18.000	1.000	1.000	1.000	1.000
47	1	643.500	17.500	1.000	1.000	1.000	1.000
48	7	749.929	18.786	0.898	1.668	0.600	0.778
49	1	801.500	17.500	1.000	1.000	1.000	1.000
50	3	375.167	18.833	1.000	1.464	0.683	0.857
51	4	427.000	19.000	1.000	1.000	1.000	1.000
52	10	471.600	19.400	0.887	1.577	0.634	0.800
53	4	541.000	19.000	1.000	1.000	1.000	1.000
54	2	246.000	20.000	0.785	2.646	0.378	0.667
55	4	633.000	20.000	1.000	1.000	1.000	1.000
56	5	669.900	20.300	1.000	1.553	0.644	0.909
57	7	976.214	20.500	1.000	1.069	0.936	0.875
58	5	325.700	20.900	1.000	1.553	0.644	0.909
59	5	409.300	20.900	1.000	1.553	0.644	0.909
60	3	567.500	20.500	0.967	3.000	0.333	1.000
61	10	755.000	21.500	1.000	1.551	0.645	0.909
62	6	937.000	21.500	1.000	1.500	0.667	1.000
63	1	140.500	21.500	1.000	1.000	1.000	1.000
64	9	231.833	22.389	1.000	1.340	0.746	0.857
65	1	521.500	21.500	1.000	1.000	1.000	1.000
66	2	838.500	22.000	1.000	2.000	0.500	1.000
67	5	33.900	22.700	0.764	2.188	0.457	0.769
68	4	397.000	23.000	1.000	1.000	1.000	1.000
69	3	434.833	22.833	1.000	1.464	0.683	0.857
70	9	350.389	25.167	1.000	1.340	0.746	0.857
71	3	505.833	24.167	1.000	1.464	0.683	0.857
72	3	291.167	24.833	1.000	1.464	0.683	0.857
73	9	341.500	25.500	1.000	1.000	1.000	1.000
74	8	369.750	26.125	0.914	1.605	0.623	0.800
75	2	387.000	24.500	1.000	2.000	0.500	1.000
76	4	778.500	27.000	0.645	4.000	0.250	1.000
77	6	796.667	26.500	1.000	1.809	0.553	0.800
78	3	898.833	25.833	1.000	1.464	0.683	0.857
79	6	540.833	27.333	0.916	1.124	0.890	0.800
80	5	592.700	26.900	1.000	1.553	0.644	0.909
81	4	744.000	27.000	1.000	1.000	1.000	1.000
82	4	60.000	28.000	1.000	1.000	1.000	1.000
83	3	130.500	27.500	0.967	3.000	0.333	1.000
84	14	334.357	29.500	0.993	1.460	0.685	0.848
85	14	358.714	30.714	0.647	2.569	0.389	0.824
86	8	379.750	28.750	0.914	1.416	0.706	0.800
87	6	637.500	28.000	1.000	1.500	0.667	1.000
88	11	119.409	29.864	1.000	1.372	0.729	0.957
89	12	406.250	29.500	0.597	3.700	0.270	0.750
90	3	428.833	29.167	1.000	1.464	0.683	0.857
91	1	562.500	28.500	1.000	1.000	1.000	1.000
92	7	847.500	29.500	1.000	1.596	0.626	0.875
93	10	880.400	29.700	1.000	1.288	0.776	0.909
94	2	108.500	30.000	1.000	2.000	0.500	1.000
95	4	137.250	30.250	0.857	2.000	0.500	0.800
96	4	471.500	29.750	1.000	1.468	0.681	0.800
97	13	608.269	31.269	1.000	1.370	0.730	0.929
98	13	750.346	30.577	0.922	1.306	0.766	0.839
99	1	788.500	29.500	1.000	1.000	1.000	1.000
100	3	43.167	30.833	1.000	1.464	0.683	0.857
101	2	497.000	30.500	1.000	2.000	0.500	1.000
102	7	582.357	31.214	0.718	2.423	0.413	0.824
103	4	760.000	31.000	1.000	1.000	1.000	1.000
104	7	325.500	32.500	1.000	1.596	0.626	0.875
105	1	391.500	31.500	1.000	1.000	1.000	1.000
106	10	456.400	32.700	0.887	1.690	0.592	0.833
107	20	440.000	34.000	1.000	1.435	0.697	0.909
108	4	526.000	33.000	1.000	1.000	1.000	1.000
109	6	814.000	33.500	1.000	1.500	0.667	1.000
110	15	617.633	34.700	0.976	1.439	0.695	0.857
111	2	233.500	35.000	1.000	2.000	0.500	1.000
112	4	290.750	35.500	0.857	1.468	0.681	0.800
113	4	344.000	35.000	1.000	1.000	1.000	1.000
114	9	535.167	35.611	1.000	1.340	0.746	0.857
115	5	823.500	35.500	0.873	1.000	1.000	0.714
116	3	838.833	35.167	1.000	1.464	0.683	0.857
117	12	91.250	36.833	1.000	1.135	0.881	0.857
118	13	366.962	36.654	1.000	1.148	0.871	0.897
119	5	706.300	36.100	1.000	1.553	0.644	0.909
120	10	783.500	37.000	1.000	1.551	0.645	0.909
121	11	65.500	38.045	0.976	1.099	0.910	0.846
122	11	468.500	37.500	0.976	2.219	0.451	0.846
123	1	715.500	36.500	1.000	1.000	1.000	1.000
124	4	130.500	38.000	1.000	2.031	0.492	0.800
125	6	300.000	39.000	0.809	2.082	0.480	0.857
126	1	156.500	38.500	1.000	1.000	1.000	1.000
127	3	405.500	38.500	0.967	3.000	0.333	1.000
128	1	726.500	38.500	1.000	1.000	1.000	1.000
129	12	884.667	40.000	0.851	1.897	0.527	0.800
130	4	262.000	40.000	1.000	1.000	1.000	1.000
131	1	318.500	39.500	1.000	1.000	1.000	1.000
132	9	386.833	40.611	1.000	1.340	0.746	0.857
133	13	578.885	41.115	1.000	1.159	0.863	0.897
134	4	850.250	40.250	0.857	2.000	0.500	0.800
135	15	433.367	42.033	0.976	1.759	0.569	0.882
136	5	478.500	41.500	0.873	1.000	1.000	0.714
137	3	139.167	42.167	1.000	1.464	0.683	0.857
138	14	359.714	42.857	0.993	1.264	0.791	0.848
139	7	526.786	42.357	1.000	1.380	0.725	0.875
140	5	610.700	41.900	1.000	1.553	0.644	0.909
141	8	350.750	43.375	1.000	1.939	0.516	0.842
142	15	442.700	44.433	0.869	1.017	0.983	0.789
143	11	461.500	44.318	0.780	2.457	0.407	0.786
144	8	894.000	44.000	1.000	2.000	0.500	1.000
145	5	233.100	44.700	1.000	1.553	0.644	0.909
146	5	340.100	44.300	1.000	1.553	0.644	0.909
147	15	422.433	45.367	0.942	1.609	0.622	0.789
148	1	100.500	44.500	1.000	1.000	1.000	1.000
149	3	214.833	45.167	1.000	1.464	0.683	0.857
150	8	325.375	45.625	1.000	1.229	0.814	0.941
151	3	377.167	45.167	1.000	1.464	0.683	0.857
152	2	815.500	45.000	1.000	2.000	0.500	1.000
153	6	902.500	45.000	1.000	1.500	0.667	1.000
154	4	965.000	45.000	1.000	1.000	1.000	1.000
155	4	974.250	45.500	0.857	1.468	0.681	0.800
156	1	28.500	45.500	1.000	1.000	1.000	1.000
157	8	51.000	46.000	1.000	2.000	0.500	1.000
158	4	370.500	47.000	0.645	4.000	0.250	1.000
159	8	540.000	46.500	1.000	2.179	0.459	0.800
160	1	517.500	46.500	1.000	1.000	1.000	1.000
161	3	825.833	46.833	1.000	1.464	0.683	0.857
162	17	67.324	48.971	0.911	1.803	0.555	0.850
163	5	1003.300	48.100	1.000	1.553	0.644	0.909
164	3	394.833	48.833	1.000	1.464	0.683	0.857
165	2	149.000	49.500	1.000	2.000	0.500	1.000
166	4	166.750	50.500	0.857	1.468	0.681	0.800
167	5	453.900	50.700	1.000	1.553	0.644	0.909
168	2	661.000	49.500	1.000	2.000	0.500	1.000
169	3	88.833	51.167	1.000	1.464	0.683	0.857
170	3	316.167	51.167	1.000	1.464	0.683	0.857
171	12	359.250	51.917	0.781	2.253	0.444	0.828
172	5	695.500	51.500	0.873	1.000	1.000	0.714
