 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	124.000	10.500	1.000	2.000	0.500	1.000
2	8	139.125	10.875	0.820	2.564	0.390	0.889
3	5	234.700	10.900	1.000	1.553	0.644	0.909
4	8	403.750	11.375	1.000	1.939	0.516	0.842
5	19	413.658	12.711	0.725	2.529	0.395	0.792
6	3	435.167	11.167	1.000	1.464	0.683	0.857
7	9	454.167	10.833	0.662	2.779	0.360	0.857
8	7	476.500	10.500	0.434	7.000	0.143	1.000
9	2	504.000	10.500	1.000	2.000	0.500	1.000
10	12	551.500	10.917	0.664	3.156	0.317	0.923
11	3	573.500	10.500	0.967	3.000	0.333	1.000
12	4	581.250	10.750	1.000	2.000	0.500	0.800
13	10	598.600	10.900	0.736	2.953	0.339	0.909
14	2	640.000	10.500	1.000	2.000	0.500	1.000
15	5	726.300	11.100	1.000	1.553	0.644	0.909
16	7	756.786	10.929	1.000	1.936	0.517	0.933
17	8	774.500	10.875	0.820	2.232	0.448	0.889
18	1	928.500	10.500	1.000	1.000	1.000	1.000
19	2	991.500	11.000	1.000	2.000	0.500	1.000
20	5	1000.700	10.900	1.000	1.553	0.644	0.909
21	2	179.500	12.000	1.000	2.000	0.500	1.000
22	2	352.000	11.500	1.000	2.000	0.500	1.000
23	16	390.625	13.875	0.927	1.058	0.945	0.821
24	11	509.227	13.136	0.853	2.498	0.400	0.815
25	1	739.500	11.500	1.000	1.000	1.000	1.000
26	1	938.500	11.500	1.000	1.000	1.000	1.000
27	4	347.000	13.000	1.000	1.000	1.000	1.000
28	25	563.500	15.260	0.566	3.630	0.275	0.725
29	5	150.100	14.700	1.000	1.553	0.644	0.909
30	16	465.000	14.500	0.628	3.020	0.331	0.842
31	7	535.643	13.929	0.718	2.731	0.366	0.824
32	1	90.500	14.500	1.000	1.000	1.000	1.000
33	3	299.500	15.167	0.754	2.702	0.370	0.667
34	5	487.700	14.900	1.000	1.553	0.644	0.909
35	4	766.000	15.000	1.000	1.000	1.000	1.000
36	6	341.500	16.000	1.000	1.500	0.667	1.000
37	5	518.300	16.100	1.000	1.553	0.644	0.909
38	1	796.500	15.500	1.000	1.000	1.000	1.000
39	4	818.000	16.000	1.000	1.000	1.000	1.000
40	7	330.500	17.786	1.000	1.069	0.936	0.875
41	2	543.000	16.500	1.000	2.000	0.500	1.000
42	1	859.500	17.500	1.000	1.000	1.000	1.000
43	12	476.167	19.667	0.471	4.346	0.230	0.706
44	14	528.357	19.929	0.629	3.281	0.305	0.737
45	4	548.500	19.000	1.000	2.031	0.492	0.800
46	11	644.682	20.318	0.976	1.035	0.966	0.846
47	2	993.500	19.000	1.000	2.000	0.500	1.000
48	5	999.100	19.300	1.000	1.553	0.644	0.909
49	28	411.786	22.250	0.403	4.805	0.208	0.700
50	13	455.269	20.423	0.646	3.263	0.307	0.788
51	3	503.167	19.833	1.000	1.464	0.683	0.857
52	1	976.500	19.500	1.000	1.000	1.000	1.000
53	7	1007.500	20.214	1.000	1.069	0.936	0.875
54	3	83.167	21.167	1.000	1.464	0.683	0.857
55	1	107.500	20.500	1.000	1.000	1.000	1.000
56	5	196.100	21.700	1.000	1.553	0.644	0.909
57	4	309.000	21.000	1.000	1.000	1.000	1.000
58	6	434.500	21.000	1.000	1.500	0.667	1.000
59	6	31.500	22.000	1.000	1.500	0.667	1.000
60	14	350.643	23.000	0.993	1.344	0.744	0.824
61	3	204.833	23.167	1.000	1.464	0.683	0.857
62	9	537.611	23.722	1.000	1.539	0.650	0.900
63	3	557.167	22.833	1.000	1.464	0.683	0.857
64	9	700.389	23.278	0.923	1.539	0.650	0.900
65	13	396.115	25.115	1.000	1.159	0.863	0.897
66	3	442.500	24.167	0.754	2.702	0.370	0.667
67	2	487.000	23.500	1.000	2.000	0.500	1.000
68	2	736.000	23.500	1.000	2.000	0.500	1.000
69	5	242.900	25.700	1.000	1.553	0.644	0.909
70	15	367.767	26.567	0.976	1.261	0.793	0.857
71	7	466.357	25.071	0.718	2.731	0.366	0.824
72	2	514.000	24.500	1.000	2.000	0.500	1.000
73	8	24.000	27.000	0.785	1.624	0.616	0.727
74	9	299.833	26.389	1.000	1.340	0.746	0.857
75	2	386.000	25.500	1.000	2.000	0.500	1.000
76	7	495.214	25.929	0.943	1.936	0.517	0.933
77	7	518.786	26.071	1.000	1.936	0.517	0.933
78	5	566.700	25.900	1.000	1.553	0.644	0.909
79	2	214.500	27.000	1.000	2.000	0.500	1.000
80	12	548.167	27.833	1.000	1.651	0.606	0.889
81	3	168.833	27.833	1.000	1.464	0.683	0.857
82	18	405.222	29.611	1.000	1.130	0.885	0.857
83	4	592.500	27.750	1.000	1.468	0.681	0.800
84	2	866.500	28.000	1.000	2.000	0.500	1.000
85	4	376.250	29.500	0.857	1.468	0.681	0.800
86	19	455.132	29.974	0.681	3.288	0.304	0.792
87	11	528.227	29.591	0.976	1.892	0.528	0.880
88	2	130.000	29.500	1.000	2.000	0.500	1.000
89	8	503.500	30.000	0.820	2.392	0.418	0.889
90	4	604.000	30.000	1.000	1.000	1.000	1.000
91	2	87.000	30.500	1.000	2.000	0.500	1.000
92	5	262.100	31.700	1.000	1.553	0.644	0.909
93	16	354.688	31.812	1.000	1.292	0.774	0.889
94	13	414.346	32.269	1.000	1.312	0.762	0.812
95	20	437.100	32.150	0.838	1.867	0.536	0.889
96	17	483.382	31.735	0.609	2.815	0.355	0.756
97	11	558.682	33.136	0.853	2.134	0.469	0.759
98	5	745.300	32.100	1.000	1.553	0.644	0.909
99	2	791.000	31.500	1.000	2.000	0.500	1.000
100	6	801.000	33.000	0.809	2.082	0.480	0.857
101	1	45.500	32.500	1.000	1.000	1.000	1.000
102	3	198.500	32.500	0.967	3.000	0.333	1.000
103	9	513.500	33.500	0.799	2.876	0.348	0.750
104	14	537.714	33.571	0.911	2.030	0.493	0.903
105	4	723.000	33.000	1.000	1.000	1.000	1.000
106	3	856.833	32.833	1.000	1.464	0.683	0.857
107	8	465.000	34.750	0.914	1.989	0.503	0.800
108	8	317.500	36.250	0.914	1.554	0.644	0.800
109	9	396.167	35.389	1.000	1.340	0.746	0.857
110	6	445.667	35.167	0.916	2.237	0.447	0.857
111	2	640.000	34.500	1.000	2.000	0.500	1.000
112	17	364.382	37.088	1.000	1.263	0.792	0.919
113	1	469.500	35.500	1.000	1.000	1.000	1.000
114	9	497.611	37.389	0.799	2.113	0.473	0.818
115	16	547.000	37.000	0.927	1.519	0.658	0.842
116	1	848.500	35.500	1.000	1.000	1.000	1.000
117	10	299.700	38.000	1.000	1.327	0.753	0.909
118	16	524.938	38.062	0.719	2.296	0.435	0.780
119	9	224.611	38.278	1.000	1.539	0.650	0.900
120	12	244.000	39.000	1.000	1.000	1.000	0.857
121	2	689.000	37.500	1.000	2.000	0.500	1.000
122	10	38.500	39.700	1.000	1.236	0.809	0.909
123	1	63.500	38.500	1.000	1.000	1.000	1.000
124	13	86.192	39.500	1.000	1.551	0.645	0.929
125	1	167.500	38.500	1.000	1.000	1.000	1.000
126	3	188.833	38.833	1.000	1.464	0.683	0.857
127	2	345.500	39.000	1.000	2.000	0.500	1.000
128	21	456.119	39.833	0.752	2.827	0.354	0.840
129	6	476.500	39.000	1.000	1.500	0.667	1.000
130	4	957.000	39.000	1.000	1.000	1.000	1.000
131	5	108.300	39.900	1.000	1.553	0.644	0.909
132	13	506.654	40.654	0.846	2.286	0.437	0.867
133	1	966.500	39.500	1.000	1.000	1.000	1.000
134	5	308.900	41.700	1.000	1.553	0.644	0.909
135	15	486.033	42.100	0.779	1.830	0.546	0.789
136	8	533.125	41.125	0.820	2.564	0.390	0.889
137	22	559.409	43.045	0.397	5.314	0.188	0.611
138	2	882.500	41.000	1.000	2.000	0.500	1.000
139	12	355.083	42.667	0.967	1.679	0.596	0.923
140	4	404.000	42.000	1.000	1.000	1.000	1.000
141	8	415.375	42.750	0.820	1.540	0.649	0.800
142	2	438.500	42.000	1.000	2.000	0.500	1.000
143	6	793.500	42.000	1.000	1.500	0.667	1.000
144	1	981.500	41.500	1.000	1.000	1.000	1.000
145	3	233.500	43.500	0.809	3.000	0.333	1.000
146	2	902.500	43.000	1.000	2.000	0.500	1.000
147	1	100.500	43.500	1.000	1.000	1.000	1.000
148	1	204.500	43.500	1.000	1.000	1.000	1.000
149	8	466.500	44.000	0.820	2.392	0.418	0.889
150	6	517.667	44.667	1.000	1.291	0.775	0.800
151	9	541.389	44.278	0.923	1.539	0.650	0.900
152	3	843.167	44.167	1.000	1.464	0.683	0.857
153	1	18.500	44.500	1.000	1.000	1.000	1.000
154	7	369.071	45.357	0.800	2.408	0.415	0.737
155	2	385.000	45.000	0.785	2.646	0.378	0.667
156	14	497.071	46.357	0.811	2.187	0.457	0.800
157	8	299.375	46.625	1.000	1.229	0.814	0.941
158	13	448.269	46.654	1.000	1.796	0.557	0.929
159	2	77.000	46.500	1.000	2.000	0.500	1.000
160	3	231.833	46.833	1.000	1.464	0.683	0.857
161	8	291.375	47.375	1.000	1.229	0.814	0.941
162	4	424.750	47.500	0.857	1.468	0.681	0.800
163	16	525.438	47.812	1.000	1.392	0.718	0.889
164	7	710.500	47.214	1.000	1.069	0.936	0.875
165	5	92.900	48.300	1.000	1.553	0.644	0.909
166	6	111.667	48.333	1.000	1.291	0.775	0.800
167	4	477.500	48.000	1.000	2.031	0.492	0.800
168	5	52.100	49.700	1.000	1.553	0.644	0.909
169	3	348.167	48.833	1.000	1.464	0.683	0.857
170	3	549.500	48.500	0.967	3.000	0.333	1.000
171	1	29.500	49.500	1.000	1.000	1.000	1.000
172	2	39.000	49.500	1.000	2.000	0.500	1.000
173	1	88.500	49.500	1.000	1.000	1.000	1.000
174	5	482.100	49.900	0.764	2.610	0.383	0.769
175	9	506.278	50.056	0.923	2.386	0.419	0.947
176	1	63.500	50.500	1.000	1.000	1.000	1.000
177	17	413.971	52.088	0.985	2.054	0.487	0.872
178	6	437.000	51.000	0.916	2.082	0.480	0.857
179	16	460.625	51.375	0.795	2.111	0.474	0.889
180	14	534.643	51.429	1.000	1.662	0.602	0.966
181	5	765.100	51.300	1.000	1.553	0.644	0.909
182	4	358.000	52.000	1.000	1.000	1.000	1.000
183	1	511.500	51.500	1.000	1.000	1.000	1.000
184	4	104.000	53.000	1.000	1.000	1.000	1.000
185	11	139.136	53.864	0.976	1.450	0.690	0.815
186	11	470.227	53.591	0.976	1.892	0.528	0.880
187	11	490.409	53.682	0.976	2.173	0.460	0.846
188	15	515.833	53.700	0.976	1.216	0.822	0.882
189	5	557.900	53.700	1.000	1.553	0.644	0.909
190	4	846.500	53.250	1.000	1.468	0.681	0.800
191	5	908.700	53.100	1.000	1.553	0.644	0.909
192	3	387.833	54.167	1.000	1.464	0.683	0.857
193	10	542.900	54.700	0.887	1.587	0.630	0.800
194	12	567.250	55.917	1.000	1.281	0.780	0.857
195	2	714.500	55.000	1.000	2.000	0.500	1.000
196	6	775.500	55.000	1.000	1.500	0.667	1.000
197	3	945.833	55.167	1.000	1.464	0.683	0.857
198	10	297.000	56.500	1.000	1.551	0.645	0.909
199	8	369.625	56.625	1.000	1.229	0.814	0.941
200	10	428.000	57.700	1.000	1.384	0.723	0.909
201	3	449.500	56.500	0.967	3.000	0.333	1.000
202	12	525.833	57.750	0.781	2.122	0.471	0.828
203	2	757.000	56.500	1.000	2.000	0.500	1.000
204	2	46.500	58.000	1.000	2.000	0.500	1.000
205	11	54.500	59.318	0.780	2.457	0.407	0.786
206	11	479.773	58.682	0.887	1.619	0.618	0.846
207	1	976.500	57.500	1.000	1.000	1.000	1.000
208	8	12.500	60.000	0.914	1.195	0.837	0.800
209	4	95.500	59.000	1.000	2.031	0.492	0.800
210	7	361.214	59.786	0.800	2.211	0.452	0.778
211	13	459.577	60.038	0.697	1.976	0.506	0.722
212	1	783.500	58.500	1.000	1.000	1.000	1.000
213	3	37.167	59.833	1.000	1.464	0.683	0.857
214	11	437.409	60.955	0.780	2.035	0.491	0.733
215	1	30.500	60.500	1.000	1.000	1.000	1.000
216	2	84.000	60.500	1.000	2.000	0.500	1.000
217	1	146.500	60.500	1.000	1.000	1.000	1.000
218	3	243.833	60.833	1.000	1.464	0.683	0.857
219	1	263.500	60.500	1.000	1.000	1.000	1.000
220	11	409.864	61.591	1.000	1.372	0.729	0.957
221	11	511.500	61.500	0.976	2.219	0.451	0.846
222	4	890.000	61.000	1.000	1.000	1.000	1.000
223	4	939.000	61.000	1.000	1.000	1.000	1.000
224	1	23.500	61.500	1.000	1.000	1.000	1.000
225	13	63.962	62.654	1.000	1.148	0.871	0.897
226	1	109.500	61.500	1.000	1.000	1.000	1.000
227	2	536.500	62.000	1.000	2.000	0.500	1.000
228	4	692.750	62.500	0.857	1.468	0.681	0.800
229	4	747.000	62.000	1.000	1.000	1.000	1.000
230	8	288.500	64.000	0.914	1.195	0.837	0.800
231	6	419.500	63.000	1.000	1.500	0.667	1.000
232	16	470.500	64.812	0.857	1.930	0.518	0.842
233	8	494.625	63.375	1.000	1.229	0.814	0.941
234	2	607.500	63.000	1.000	2.000	0.500	1.000
235	1	836.500	62.500	1.000	1.000	1.000	1.000
236	1	906.500	62.500	1.000	1.000	1.000	1.000
237	2	124.000	63.500	1.000	2.000	0.500	1.000
238	7	375.214	63.929	0.943	1.936	0.517	0.933
239	4	518.500	64.000	1.000	2.031	0.492	0.800
240	1	591.500	63.500	1.000	1.000	1.000	1.000
241	2	963.500	64.000	1.000	2.000	0.500	1.000
242	2	340.500	65.000	1.000	2.000	0.500	1.000
243	9	450.056	65.833	1.000	1.536	0.651	0.857
244	11	401.682	66.682	0.976	1.035	0.966	0.846
245	13	545.346	66.731	0.779	2.043	0.490	0.839
246	8	41.375	67.375	1.000	1.229	0.814	0.941
247	4	234.000	66.500	0.740	4.000	0.250	1.000
248	1	253.500	66.500	1.000	1.000	1.000	1.000
249	8	297.250	67.750	0.914	1.416	0.706	0.800
250	10	503.000	67.500	1.000	1.551	0.645	0.909
251	12	30.833	69.417	0.967	1.218	0.821	0.889
252	6	279.333	68.667	1.000	1.291	0.775	0.800
253	12	364.833	69.000	1.000	1.281	0.781	0.857
254	5	479.700	67.900	1.000	1.553	0.644	0.909
255	3	14.833	69.167	1.000	1.464	0.683	0.857
256	1	88.500	68.500	1.000	1.000	1.000	1.000
257	14	113.143	69.857	0.993	1.531	0.653	0.848
258	15	384.033	70.367	1.000	1.127	0.887	0.857
259	16	462.188	70.750	0.831	2.270	0.441	0.800
260	2	529.000	68.500	1.000	2.000	0.500	1.000
261	15	553.767	70.567	1.000	1.435	0.697	0.882
262	1	581.500	68.500	1.000	1.000	1.000	1.000
263	1	896.500	68.500	1.000	1.000	1.000	1.000
264	1	1008.500	68.500	1.000	1.000	1.000	1.000
265	12	511.833	71.167	1.000	1.651	0.606	0.889
266	2	599.000	69.500	1.000	2.000	0.500	1.000
267	7	244.786	71.500	1.000	1.069	0.936	0.875
268	4	412.500	71.000	1.000	2.031	0.492	0.800
269	2	685.000	70.500	1.000	2.000	0.500	1.000
270	2	187.000	71.500	1.000	2.000	0.500	1.000
271	10	374.500	72.700	1.000	1.236	0.809	0.909
272	1	838.500	71.500	1.000	1.000	1.000	1.000
273	1	269.500	72.500	1.000	1.000	1.000	1.000
274	2	423.000	72.500	1.000	2.000	0.500	1.000
275	5	493.700	72.900	1.000	1.553	0.644	0.909
276	6	625.333	73.167	0.809	2.237	0.447	0.857
277	3	125.167	74.167	1.000	1.464	0.683	0.857
278	11	471.955	74.227	0.809	1.915	0.522	0.880
279	9	521.056	74.833	1.000	1.536	0.651	0.857
280	1	590.500	73.500	1.000	1.000	1.000	1.000
281	7	635.500	74.500	1.000	1.596	0.626	0.875
282	1	664.500	73.500	1.000	1.000	1.000	1.000
283	7	968.786	73.929	1.000	1.936	0.517	0.933
284	1	122.500	74.500	1.000	1.000	1.000	1.000
285	11	196.682	76.045	1.000	1.450	0.689	0.846
286	10	453.300	76.000	1.000	1.327	0.753	0.909
287	3	921.833	74.833	1.000	1.464	0.683	0.857
288	2	262.000	76.000	0.785	2.646	0.378	0.667
289	11	502.682	77.045	1.000	1.450	0.689	0.846
290	3	769.167	75.833	1.000	1.464	0.683	0.857
291	5	237.300	76.900	1.000	1.553	0.644	0.909
292	8	429.875	77.250	1.000	1.605	0.623	0.800
293	2	40.000	77.500	1.000	2.000	0.500	1.000
294	6	280.000	78.500	1.000	1.500	0.667	1.000
295	11	483.227	78.591	0.976	1.892	0.528	0.880
296	1	887.500	77.500	1.000	1.000	1.000	1.000
297	1	929.500	77.500	1.000	1.000	1.000	1.000
298	9	166.833	79.611	1.000	1.340	0.746	0.857
299	8	417.000	79.000	1.000	2.000	0.500	1.000
300	2	602.000	78.500	1.000	2.000	0.500	1.000
301	1	704.500	78.500	1.000	1.000	1.000	1.000
302	1	73.500	79.500	1.000	1.000	1.000	1.000
303	1	94.500	79.500	1.000	1.000	1.000	1.000
304	9	115.167	80.056	0.662	3.003	0.333	0.857
305	15	440.433	80.367	0.830	1.919	0.521	0.938
306	5	97.700	80.900	1.000	1.553	0.644	0.909
307	2	134.500	81.000	1.000	2.000	0.500	1.000
308	7	463.786	81.071	1.000	1.936	0.517	0.933
309	4	912.000	81.000	1.000	1.000	1.000	1.000
310	5	270.100	82.700	1.000	1.553	0.644	0.909
311	5	332.500	82.500	0.873	1.000	1.000	0.714
312	1	854.500	81.500	1.000	1.000	1.000	1.000
313	8	245.000	83.000	1.000	2.000	0.500	1.000
