 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	33.000	10.500	1.000	2.000	0.500	1.000
2	2	53.000	10.500	1.000	2.000	0.500	1.000
3	6	81.500	10.667	0.615	2.806	0.356	0.750
4	3	121.500	10.500	0.967	3.000	0.333	1.000
5	10	160.000	11.700	1.000	1.384	0.723	0.909
6	1	189.500	10.500	1.000	1.000	1.000	1.000
7	1	351.500	10.500	1.000	1.000	1.000	1.000
8	8	367.625	11.375	1.000	1.229	0.814	0.941
9	2	389.000	10.500	1.000	2.000	0.500	1.000
10	2	403.000	10.500	1.000	2.000	0.500	1.000
11	1	418.500	10.500	1.000	1.000	1.000	1.000
12	2	432.000	10.500	1.000	2.000	0.500	1.000
13	11	459.318	11.955	0.976	1.450	0.689	0.846
14	2	539.500	11.000	1.000	2.000	0.500	1.000
15	4	564.500	11.000	1.000	2.031	0.492	0.800
16	3	604.500	10.500	0.967	3.000	0.333	1.000
17	12	619.167	11.833	1.000	1.651	0.606	0.889
18	2	675.000	10.500	1.000	2.000	0.500	1.000
19	3	704.500	10.500	0.967	3.000	0.333	1.000
20	3	724.500	10.500	0.967	3.000	0.333	1.000
21	6	771.000	11.500	1.000	1.500	0.667	1.000
22	2	896.000	10.500	1.000	2.000	0.500	1.000
23	5	964.100	11.300	1.000	1.553	0.644	0.909
24	12	977.583	11.250	0.967	1.756	0.570	0.889
25	10	990.400	10.900	0.674	2.953	0.339	0.909
26	7	591.786	13.929	0.800	1.668	0.600	0.778
27	3	654.833	13.833	1.000	1.464	0.683	0.857
28	12	907.000	15.333	0.851	1.897	0.527	0.800
29	10	316.500	15.000	0.925	2.500	0.400	1.000
30	2	450.000	15.000	0.785	2.646	0.378	0.667
31	3	12.500	16.500	0.809	3.000	0.333	1.000
32	5	518.900	16.300	1.000	1.553	0.644	0.909
33	2	824.500	16.000	1.000	2.000	0.500	1.000
34	7	112.500	17.214	1.000	1.069	0.936	0.875
35	11	245.773	18.045	0.809	1.915	0.522	0.880
36	11	511.409	17.864	1.000	1.372	0.729	0.957
37	1	609.500	16.500	1.000	1.000	1.000	1.000
38	10	785.600	17.700	1.000	1.288	0.776	0.909
39	3	1013.167	17.167	1.000	1.464	0.683	0.857
40	4	255.000	18.000	1.000	1.000	1.000	1.000
41	11	414.955	19.318	0.976	1.450	0.689	0.846
42	3	676.833	18.167	1.000	1.464	0.683	0.857
43	4	687.000	18.000	1.000	1.000	1.000	1.000
44	11	72.136	19.409	1.000	1.372	0.729	0.957
45	8	880.500	20.000	0.914	1.195	0.837	0.800
46	5	123.900	20.300	1.000	1.553	0.644	0.909
47	2	463.000	19.500	1.000	2.000	0.500	1.000
48	10	501.600	21.400	0.806	1.577	0.634	0.800
49	7	954.214	21.214	0.800	2.211	0.452	0.778
50	5	971.700	19.900	1.000	1.553	0.644	0.909
51	6	981.500	20.000	1.000	1.500	0.667	1.000
52	1	283.500	20.500	1.000	1.000	1.000	1.000
53	6	842.333	21.667	1.000	1.291	0.775	0.800
54	7	867.929	21.786	0.943	1.936	0.517	0.933
55	1	352.500	21.500	1.000	1.000	1.000	1.000
56	2	537.000	21.500	1.000	2.000	0.500	1.000
57	5	717.700	21.900	1.000	1.553	0.644	0.909
58	5	890.100	22.300	1.000	1.553	0.644	0.909
59	7	297.500	23.500	1.000	1.596	0.626	0.875
60	16	477.938	26.250	1.000	1.234	0.810	0.889
61	3	489.167	24.833	1.000	1.464	0.683	0.857
62	1	46.500	25.500	1.000	1.000	1.000	1.000
63	9	220.389	27.167	1.000	1.340	0.746	0.857
64	4	367.750	26.250	0.857	2.000	0.500	0.800
65	3	163.167	26.833	1.000	1.464	0.683	0.857
66	7	592.214	27.500	1.000	1.069	0.936	0.875
67	11	629.682	28.045	1.000	1.450	0.689	0.846
68	2	654.500	27.000	1.000	2.000	0.500	1.000
69	5	684.500	27.500	0.873	1.000	1.000	0.714
70	8	572.500	29.000	0.914	1.195	0.837	0.800
71	2	972.000	27.500	1.000	2.000	0.500	1.000
72	3	983.500	27.500	0.967	3.000	0.333	1.000
73	4	995.500	27.750	1.000	1.468	0.681	0.800
74	1	35.500	28.500	1.000	1.000	1.000	1.000
75	5	746.300	29.100	1.000	1.553	0.644	0.909
76	6	354.000	31.000	0.809	2.082	0.480	0.857
77	2	545.000	29.500	1.000	2.000	0.500	1.000
78	1	674.500	29.500	1.000	1.000	1.000	1.000
79	2	708.000	29.500	1.000	2.000	0.500	1.000
80	4	247.000	31.000	1.000	1.000	1.000	1.000
81	2	905.500	31.000	1.000	2.000	0.500	1.000
82	1	736.500	31.500	1.000	1.000	1.000	1.000
83	15	759.900	33.367	0.976	1.530	0.654	0.857
84	1	63.500	32.500	1.000	1.000	1.000	1.000
85	5	442.900	33.300	0.764	2.188	0.457	0.769
86	12	73.083	34.333	0.967	1.679	0.596	0.923
87	4	485.000	34.000	1.000	1.000	1.000	1.000
88	1	209.500	34.500	1.000	1.000	1.000	1.000
89	4	258.000	35.000	1.000	1.000	1.000	1.000
90	4	395.750	35.500	0.857	1.468	0.681	0.800
91	1	474.500	35.500	1.000	1.000	1.000	1.000
92	4	585.000	36.000	1.000	1.000	1.000	1.000
93	10	934.700	36.800	1.000	1.559	0.641	0.909
94	1	135.500	36.500	1.000	1.000	1.000	1.000
95	12	310.167	38.417	0.851	1.711	0.584	0.828
96	1	500.500	36.500	1.000	1.000	1.000	1.000
97	4	593.000	37.000	1.000	1.000	1.000	1.000
98	3	629.833	37.167	1.000	1.464	0.683	0.857
99	11	705.591	37.682	0.976	1.772	0.564	0.846
100	2	422.000	37.500	1.000	2.000	0.500	1.000
101	1	575.500	37.500	1.000	1.000	1.000	1.000
102	1	967.500	37.500	1.000	1.000	1.000	1.000
103	1	1002.500	37.500	1.000	1.000	1.000	1.000
104	3	85.167	38.833	1.000	1.464	0.683	0.857
105	3	452.833	39.167	1.000	1.464	0.683	0.857
106	6	516.500	39.000	1.000	1.500	0.667	1.000
107	9	846.833	39.278	0.498	3.934	0.254	0.783
108	13	900.885	39.885	1.000	1.159	0.863	0.897
109	12	115.250	41.167	1.000	1.135	0.881	0.857
110	10	538.200	40.900	0.806	1.894	0.528	0.833
111	5	717.500	40.300	0.873	1.496	0.668	0.714
112	2	771.000	39.500	1.000	2.000	0.500	1.000
113	1	787.500	39.500	1.000	1.000	1.000	1.000
114	2	891.500	40.000	1.000	2.000	0.500	1.000
115	7	365.500	41.214	1.000	1.069	0.936	0.875
116	1	550.500	40.500	1.000	1.000	1.000	1.000
117	7	602.214	41.500	1.000	1.069	0.936	0.875
118	4	330.000	42.500	0.857	2.031	0.492	0.800
119	2	348.000	41.500	1.000	2.000	0.500	1.000
120	4	495.000	42.500	0.857	2.031	0.492	0.800
121	1	45.500	42.500	1.000	1.000	1.000	1.000
122	1	289.500	42.500	1.000	1.000	1.000	1.000
123	2	386.000	42.500	1.000	2.000	0.500	1.000
124	2	1013.500	43.000	1.000	2.000	0.500	1.000
125	8	173.375	44.625	1.000	1.229	0.814	0.941
126	6	620.000	44.500	1.000	1.500	0.667	1.000
127	1	17.500	44.500	1.000	1.000	1.000	1.000
128	12	632.250	46.083	0.781	2.136	0.468	0.774
129	1	569.500	45.500	1.000	1.000	1.000	1.000
130	13	27.654	47.654	0.846	2.286	0.437	0.867
131	10	506.200	47.300	1.000	1.559	0.641	0.909
132	2	593.000	46.500	1.000	2.000	0.500	1.000
133	5	671.300	47.500	0.873	1.496	0.668	0.714
134	1	93.500	47.500	1.000	1.000	1.000	1.000
135	2	164.500	49.000	1.000	2.000	0.500	1.000
136	10	312.300	49.800	0.887	1.491	0.670	0.800
137	9	436.611	50.167	1.000	1.340	0.746	0.857
