 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	44.167	10.833	1.000	1.464	0.683	0.857
2	1	82.500	10.500	1.000	1.000	1.000	1.000
3	6	97.500	11.000	1.000	1.500	0.667	1.000
4	2	191.000	10.500	1.000	2.000	0.500	1.000
5	3	211.167	10.833	1.000	1.464	0.683	0.857
6	5	240.100	10.700	0.764	2.188	0.457	0.769
7	2	252.000	10.500	1.000	2.000	0.500	1.000
8	1	280.500	10.500	1.000	1.000	1.000	1.000
9	1	314.500	10.500	1.000	1.000	1.000	1.000
10	1	328.500	10.500	1.000	1.000	1.000	1.000
11	1	350.500	10.500	1.000	1.000	1.000	1.000
12	12	404.833	12.167	1.000	1.651	0.606	0.889
13	1	644.500	10.500	1.000	1.000	1.000	1.000
14	7	808.357	10.786	0.718	2.423	0.413	0.824
15	2	821.000	10.500	1.000	2.000	0.500	1.000
16	1	904.500	10.500	1.000	1.000	1.000	1.000
17	3	976.500	10.500	0.967	3.000	0.333	1.000
18	2	994.000	10.500	1.000	2.000	0.500	1.000
19	1	1012.500	10.500	1.000	1.000	1.000	1.000
20	1	380.500	11.500	1.000	1.000	1.000	1.000
21	1	464.500	11.500	1.000	1.000	1.000	1.000
22	5	370.900	13.300	1.000	1.553	0.644	0.909
23	2	681.500	13.000	1.000	2.000	0.500	1.000
24	8	750.250	14.250	0.914	1.416	0.706	0.800
25	10	48.300	15.000	1.000	1.327	0.753	0.909
26	4	670.500	13.750	1.000	1.468	0.681	0.800
27	12	59.000	15.500	1.000	1.333	0.750	1.000
28	11	519.227	15.591	0.976	1.892	0.528	0.880
29	2	612.500	15.000	1.000	2.000	0.500	1.000
30	1	782.500	14.500	1.000	1.000	1.000	1.000
31	4	34.000	16.000	1.000	1.000	1.000	1.000
32	3	182.833	16.167	1.000	1.464	0.683	0.857
33	13	501.885	17.192	0.922	1.372	0.729	0.812
34	5	77.300	16.900	1.000	1.553	0.644	0.909
35	6	295.667	17.167	0.916	2.237	0.447	0.857
36	17	438.382	18.206	1.000	1.192	0.839	0.919
37	4	900.000	17.000	1.000	1.000	1.000	1.000
38	5	414.900	18.700	1.000	1.553	0.644	0.909
39	6	829.667	18.333	1.000	1.291	0.775	0.800
40	7	1010.214	18.071	0.943	1.936	0.517	0.933
41	6	173.000	19.500	1.000	1.500	0.667	1.000
42	3	193.167	19.833	1.000	1.464	0.683	0.857
43	3	256.167	19.833	1.000	1.464	0.683	0.857
44	4	259.500	20.250	1.000	1.468	0.681	0.800
45	8	323.375	20.375	1.000	1.229	0.814	0.941
46	5	482.300	20.100	1.000	1.553	0.644	0.909
47	13	512.654	21.038	1.000	1.148	0.871	0.897
48	7	558.357	20.214	1.000	1.380	0.725	0.875
49	6	377.000	21.167	0.916	1.809	0.553	0.857
50	1	617.500	20.500	1.000	1.000	1.000	1.000
51	3	745.833	21.167	1.000	1.464	0.683	0.857
52	9	757.833	21.389	1.000	1.340	0.746	0.857
53	4	767.000	21.000	1.000	1.000	1.000	1.000
54	5	458.100	22.700	1.000	1.553	0.644	0.909
55	11	820.682	23.045	1.000	1.450	0.689	0.846
56	2	447.500	23.000	1.000	2.000	0.500	1.000
57	5	722.700	23.700	0.873	2.308	0.433	0.769
58	7	99.214	24.500	1.000	1.069	0.936	0.875
59	4	604.000	24.000	1.000	1.000	1.000	1.000
60	2	932.500	25.000	1.000	2.000	0.500	1.000
61	19	342.658	27.237	1.000	1.336	0.749	0.884
62	5	38.100	27.300	1.000	1.553	0.644	0.909
63	4	80.000	27.000	1.000	1.000	1.000	1.000
64	5	292.300	27.100	1.000	1.553	0.644	0.909
65	1	400.500	26.500	1.000	1.000	1.000	1.000
66	6	595.500	27.000	1.000	1.500	0.667	1.000
67	8	923.625	27.625	1.000	1.229	0.814	0.941
68	10	1010.800	27.700	0.599	3.397	0.294	0.714
69	2	108.500	28.000	1.000	2.000	0.500	1.000
70	6	126.833	29.000	0.809	1.809	0.553	0.857
71	1	200.500	27.500	1.000	1.000	1.000	1.000
72	8	371.375	28.625	1.000	1.229	0.814	0.941
73	3	523.500	27.500	0.967	3.000	0.333	1.000
74	2	810.500	28.000	1.000	2.000	0.500	1.000
75	1	865.500	27.500	1.000	1.000	1.000	1.000
76	4	986.250	28.250	0.857	2.000	0.500	0.800
77	8	174.625	29.625	1.000	1.229	0.814	0.941
78	10	211.900	29.700	0.709	2.120	0.472	0.714
79	10	136.500	31.300	1.000	1.236	0.809	0.909
80	3	284.167	29.833	1.000	1.464	0.683	0.857
81	3	440.833	29.833	1.000	1.464	0.683	0.857
82	5	329.500	31.700	0.873	1.496	0.668	0.714
83	5	464.900	31.300	1.000	1.553	0.644	0.909
84	2	648.500	31.000	1.000	2.000	0.500	1.000
85	1	963.500	30.500	1.000	1.000	1.000	1.000
86	14	474.000	33.000	1.000	1.319	0.758	0.933
87	3	536.167	31.833	1.000	1.464	0.683	0.857
88	11	766.682	32.955	1.000	1.450	0.689	0.846
89	4	972.000	31.500	0.740	4.000	0.250	1.000
90	12	240.583	34.417	0.967	1.939	0.516	0.889
91	12	609.000	34.000	1.000	1.000	1.000	0.857
