 	Area	XM	YM	Circ.	AR	Round	Solidity
1	10	25.600	10.900	0.736	2.953	0.339	0.909
2	7	85.214	11.929	0.800	1.668	0.600	0.778
3	1	94.500	10.500	1.000	1.000	1.000	1.000
4	10	138.300	11.200	0.887	1.866	0.536	0.800
5	3	157.500	10.500	0.967	3.000	0.333	1.000
6	4	169.000	10.500	0.740	4.000	0.250	1.000
7	3	209.500	10.500	0.967	3.000	0.333	1.000
8	5	311.500	10.500	0.599	5.000	0.200	1.000
9	14	389.286	12.857	0.587	2.896	0.345	0.667
10	13	400.192	11.500	1.000	1.551	0.645	0.929
11	6	476.000	11.500	1.000	1.500	0.667	1.000
12	1	498.500	10.500	1.000	1.000	1.000	1.000
13	13	597.115	11.885	1.000	1.159	0.863	0.897
14	5	650.300	10.700	0.674	2.749	0.364	0.769
15	2	687.000	10.500	1.000	2.000	0.500	1.000
16	6	863.000	10.833	0.916	1.809	0.553	0.857
17	3	872.500	10.500	0.967	3.000	0.333	1.000
18	4	999.750	11.250	0.857	2.000	0.500	0.800
19	1	1012.500	10.500	1.000	1.000	1.000	1.000
20	5	458.300	12.100	1.000	1.553	0.644	0.909
21	5	918.900	12.300	1.000	1.553	0.644	0.909
22	1	750.500	12.500	1.000	1.000	1.000	1.000
23	4	75.500	14.250	1.000	1.468	0.681	0.800
24	8	366.500	15.000	0.914	1.195	0.837	0.800
25	7	631.500	14.786	1.000	1.069	0.936	0.875
26	6	833.000	13.833	0.916	1.809	0.553	0.857
27	1	117.500	14.500	1.000	1.000	1.000	1.000
28	7	330.786	15.071	1.000	1.936	0.517	0.933
29	1	351.500	14.500	1.000	1.000	1.000	1.000
30	4	466.000	15.000	1.000	1.000	1.000	1.000
31	6	487.833	15.167	0.916	1.593	0.628	0.857
32	4	606.500	16.000	0.645	4.000	0.250	1.000
33	3	622.833	15.167	1.000	1.464	0.683	0.857
34	6	641.000	15.500	1.000	1.500	0.667	1.000
35	3	820.167	15.167	1.000	1.464	0.683	0.857
36	4	147.000	15.500	0.740	4.000	0.250	1.000
37	1	201.500	15.500	1.000	1.000	1.000	1.000
38	10	413.000	16.700	1.000	1.384	0.723	0.909
39	6	446.000	16.167	0.916	1.809	0.553	0.857
40	5	665.300	16.100	1.000	1.553	0.644	0.909
