 	Area	XM	YM	Circ.	AR	Round	Solidity
1	9	45.167	11.389	1.000	1.340	0.746	0.857
2	3	66.833	11.167	1.000	1.464	0.683	0.857
3	1	81.500	10.500	1.000	1.000	1.000	1.000
4	5	206.700	10.900	1.000	1.553	0.644	0.909
5	6	263.000	10.833	0.916	1.809	0.553	0.857
6	12	283.000	10.750	0.415	4.945	0.202	0.800
7	1	314.500	10.500	1.000	1.000	1.000	1.000
8	15	455.967	11.633	0.869	1.499	0.667	0.811
9	2	551.000	10.500	1.000	2.000	0.500	1.000
10	1	594.500	10.500	1.000	1.000	1.000	1.000
11	1	682.500	10.500	1.000	1.000	1.000	1.000
12	8	713.000	11.500	1.000	1.195	0.837	0.800
13	1	735.500	10.500	1.000	1.000	1.000	1.000
14	1	795.500	10.500	1.000	1.000	1.000	1.000
15	2	834.000	10.500	1.000	2.000	0.500	1.000
16	4	873.750	10.750	0.857	2.000	0.500	0.800
17	3	291.833	11.833	1.000	1.464	0.683	0.857
18	1	645.500	11.500	1.000	1.000	1.000	1.000
19	11	432.045	14.318	0.976	1.450	0.689	0.846
20	17	1006.794	13.500	0.786	2.224	0.450	0.895
21	2	146.000	13.500	1.000	2.000	0.500	1.000
22	2	566.500	14.000	1.000	2.000	0.500	1.000
23	8	1000.125	14.250	0.914	1.605	0.623	0.800
24	3	217.167	15.167	1.000	1.464	0.683	0.857
25	1	270.500	14.500	1.000	1.000	1.000	1.000
26	1	825.500	14.500	1.000	1.000	1.000	1.000
27	1	105.500	15.500	1.000	1.000	1.000	1.000
28	9	408.056	16.833	1.000	1.536	0.651	0.857
29	7	984.214	15.929	0.943	1.936	0.517	0.933
30	1	971.500	16.500	1.000	1.000	1.000	1.000
31	3	27.833	18.167	1.000	1.464	0.683	0.857
32	5	328.700	17.900	1.000	1.553	0.644	0.909
33	7	340.786	18.071	1.000	1.936	0.517	0.933
34	6	602.667	18.333	1.000	1.291	0.775	0.800
35	5	880.300	17.900	1.000	1.553	0.644	0.909
36	5	19.100	19.700	1.000	1.553	0.644	0.909
37	2	51.500	19.000	1.000	2.000	0.500	1.000
38	2	515.000	18.500	1.000	2.000	0.500	1.000
39	6	551.000	20.000	0.809	2.082	0.480	0.857
40	8	316.000	20.000	1.000	2.000	0.500	1.000
41	5	454.900	20.700	1.000	1.553	0.644	0.909
42	9	524.389	21.167	1.000	1.340	0.746	0.857
43	6	695.000	20.500	1.000	1.500	0.667	1.000
44	4	155.000	21.000	1.000	1.000	1.000	1.000
45	6	240.667	22.667	1.000	1.291	0.775	0.800
46	16	488.500	23.375	1.000	1.452	0.689	0.821
47	7	610.071	23.214	0.943	1.936	0.517	0.933
48	6	638.667	22.667	1.000	1.291	0.775	0.800
49	6	684.333	22.333	1.000	1.291	0.775	0.800
50	5	1011.300	22.100	1.000	1.553	0.644	0.909
51	1	223.500	22.500	1.000	1.000	1.000	1.000
52	12	477.833	24.250	1.000	1.135	0.881	0.857
53	7	749.500	23.500	1.000	1.596	0.626	0.875
54	1	89.500	23.500	1.000	1.000	1.000	1.000
55	6	293.000	24.500	1.000	1.500	0.667	1.000
56	9	629.611	25.167	1.000	1.340	0.746	0.857
57	3	819.500	23.500	0.967	3.000	0.333	1.000
58	2	889.500	25.000	1.000	2.000	0.500	1.000
59	3	972.167	24.833	1.000	1.464	0.683	0.857
60	1	991.500	24.500	1.000	1.000	1.000	1.000
61	1	514.500	25.500	1.000	1.000	1.000	1.000
62	5	655.700	26.100	1.000	1.553	0.644	0.909
63	7	675.214	26.929	0.800	1.668	0.600	0.778
64	8	601.125	27.750	1.000	1.605	0.623	0.800
65	5	23.500	28.500	0.873	1.000	1.000	0.714
66	14	80.857	28.929	0.811	1.712	0.584	0.757
67	4	217.000	28.000	1.000	1.000	1.000	1.000
68	1	504.500	27.500	1.000	1.000	1.000	1.000
69	17	531.088	29.382	1.000	1.263	0.792	0.919
70	5	646.900	28.300	1.000	1.553	0.644	0.909
