 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	26.500	10.750	0.588	3.759	0.266	0.800
2	19	48.079	11.816	1.000	1.548	0.646	0.905
3	9	129.278	10.944	0.923	2.386	0.419	0.947
4	1	177.500	10.500	1.000	1.000	1.000	1.000
5	4	214.250	11.250	0.857	2.000	0.500	0.800
6	2	225.000	10.500	1.000	2.000	0.500	1.000
7	4	235.000	11.000	1.000	1.000	1.000	1.000
8	2	245.500	11.000	1.000	2.000	0.500	1.000
9	4	298.500	10.750	1.000	1.468	0.681	0.800
10	8	338.375	11.625	1.000	1.229	0.814	0.941
11	2	383.000	10.500	1.000	2.000	0.500	1.000
12	4	398.500	10.750	1.000	1.468	0.681	0.800
13	2	408.000	10.500	1.000	2.000	0.500	1.000
14	4	427.000	11.000	1.000	1.000	1.000	1.000
15	9	438.833	11.389	1.000	1.340	0.746	0.857
16	20	567.250	12.050	0.994	1.403	0.713	0.909
17	1	614.500	10.500	1.000	1.000	1.000	1.000
18	2	811.000	10.500	1.000	2.000	0.500	1.000
19	2	897.000	10.500	1.000	2.000	0.500	1.000
20	8	926.500	10.875	0.820	2.232	0.448	0.889
21	8	979.000	11.000	1.000	2.000	0.500	1.000
22	11	639.136	13.045	1.000	1.139	0.878	0.815
23	4	528.000	13.000	1.000	1.000	1.000	1.000
24	5	606.100	13.700	1.000	1.553	0.644	0.909
25	7	650.214	14.500	1.000	1.069	0.936	0.875
26	4	466.000	15.000	1.000	1.000	1.000	1.000
27	5	111.900	16.700	1.000	1.553	0.644	0.909
28	9	670.611	16.833	1.000	1.340	0.746	0.857
29	3	935.833	16.167	1.000	1.464	0.683	0.857
30	13	516.654	18.038	0.922	1.416	0.706	0.812
31	1	848.500	16.500	1.000	1.000	1.000	1.000
32	6	224.000	18.500	1.000	1.500	0.667	1.000
33	2	505.000	17.500	1.000	2.000	0.500	1.000
34	9	954.833	19.500	0.726	1.758	0.569	0.783
35	9	986.833	19.500	0.726	1.758	0.569	0.783
36	2	264.500	19.000	1.000	2.000	0.500	1.000
37	10	366.000	19.500	1.000	1.551	0.645	0.909
38	2	402.500	19.000	1.000	2.000	0.500	1.000
39	2	413.500	19.000	1.000	2.000	0.500	1.000
40	5	446.300	19.700	0.873	2.308	0.433	0.769
41	1	482.500	18.500	1.000	1.000	1.000	1.000
42	1	615.500	18.500	1.000	1.000	1.000	1.000
43	4	177.750	20.750	0.857	2.000	0.500	0.800
44	1	210.500	19.500	1.000	1.000	1.000	1.000
45	5	320.300	19.900	1.000	1.553	0.644	0.909
46	11	456.591	21.682	0.780	1.797	0.556	0.786
47	5	632.100	20.300	1.000	1.553	0.644	0.909
48	3	921.833	19.833	1.000	1.464	0.683	0.857
49	1	25.500	20.500	1.000	1.000	1.000	1.000
50	6	58.167	21.333	1.000	1.124	0.890	0.800
51	4	103.000	21.000	1.000	1.000	1.000	1.000
52	11	129.682	22.227	0.887	1.619	0.618	0.846
53	8	297.125	22.375	0.820	1.767	0.566	0.842
54	12	47.083	23.250	1.000	1.281	0.780	0.857
55	7	344.786	21.929	1.000	1.936	0.517	0.933
56	8	642.500	23.000	0.914	1.195	0.837	0.800
57	1	287.500	23.500	1.000	1.000	1.000	1.000
58	3	422.500	23.500	0.967	3.000	0.333	1.000
59	15	508.033	25.633	1.000	1.127	0.887	0.857
60	10	655.700	24.500	1.000	1.236	0.809	0.909
61	4	677.000	24.000	1.000	1.000	1.000	1.000
62	9	437.833	25.389	1.000	1.340	0.746	0.857
63	9	472.611	25.278	1.000	1.539	0.650	0.900
64	9	738.056	25.167	1.000	1.536	0.651	0.857
65	8	72.875	28.000	0.503	3.589	0.279	0.593
66	1	137.500	25.500	1.000	1.000	1.000	1.000
67	5	482.100	26.700	1.000	1.553	0.644	0.909
68	5	583.500	26.500	0.873	2.188	0.457	0.714
69	4	938.000	26.000	1.000	1.000	1.000	1.000
70	10	947.000	27.500	0.925	2.500	0.400	1.000
71	14	92.214	28.357	0.911	1.566	0.639	0.824
72	9	205.833	28.500	0.539	2.335	0.428	0.667
73	3	849.167	27.167	1.000	1.464	0.683	0.857
74	12	920.083	28.250	1.000	1.281	0.780	0.857
75	8	382.375	28.625	1.000	1.229	0.814	0.941
76	4	834.500	28.250	1.000	1.468	0.681	0.800
77	12	224.250	30.083	1.000	1.281	0.780	0.857
78	3	448.500	29.500	0.809	3.000	0.333	1.000
79	7	517.357	29.643	0.800	1.571	0.636	0.737
80	8	616.625	29.375	1.000	1.229	0.814	0.941
81	4	729.250	29.500	0.857	1.468	0.681	0.800
82	7	54.214	30.500	1.000	1.069	0.936	0.875
83	2	266.500	30.000	1.000	2.000	0.500	1.000
84	11	787.682	31.318	0.976	1.035	0.966	0.846
85	3	819.833	29.833	1.000	1.464	0.683	0.857
86	4	63.000	31.000	1.000	1.000	1.000	1.000
87	11	101.682	31.682	0.976	1.035	0.966	0.846
88	1	268.500	30.500	1.000	1.000	1.000	1.000
89	3	680.833	32.167	1.000	1.464	0.683	0.857
90	6	44.500	33.667	1.000	1.809	0.553	0.800
91	1	111.500	32.500	1.000	1.000	1.000	1.000
92	10	121.700	33.500	1.000	1.236	0.809	0.909
93	4	767.000	33.000	1.000	1.000	1.000	1.000
94	1	240.500	33.500	1.000	1.000	1.000	1.000
95	12	437.917	34.667	0.883	1.679	0.596	0.923
96	6	457.000	35.500	1.000	1.500	0.667	1.000
97	5	488.300	35.100	1.000	1.553	0.644	0.909
98	24	510.917	36.042	0.397	5.259	0.190	0.667
99	9	911.389	35.278	0.923	1.539	0.650	0.900
100	8	938.750	36.125	0.914	1.605	0.623	0.800
101	3	233.833	36.167	1.000	1.464	0.683	0.857
102	5	671.700	36.100	1.000	1.553	0.644	0.909
103	14	13.143	39.714	0.993	1.264	0.791	0.848
104	10	95.000	38.500	1.000	1.551	0.645	0.909
105	1	198.500	37.500	1.000	1.000	1.000	1.000
106	10	722.000	38.300	1.000	1.327	0.753	0.909
107	7	755.786	38.500	1.000	1.069	0.936	0.875
108	5	384.700	38.900	1.000	1.553	0.644	0.909
109	11	412.864	39.591	1.000	1.372	0.729	0.957
110	1	744.500	38.500	1.000	1.000	1.000	1.000
111	8	58.375	40.375	1.000	1.229	0.814	0.941
112	10	249.000	40.700	1.000	1.384	0.723	0.909
113	14	448.000	40.929	0.629	3.058	0.327	0.737
114	1	729.500	39.500	1.000	1.000	1.000	1.000
115	10	902.000	41.700	1.000	1.384	0.723	0.909
116	8	187.000	43.000	1.000	2.000	0.500	1.000
117	1	327.500	41.500	1.000	1.000	1.000	1.000
118	4	503.250	42.250	0.857	2.000	0.500	0.800
119	13	712.654	44.115	0.779	1.731	0.578	0.839
120	8	930.375	42.625	1.000	1.229	0.814	0.941
121	3	22.167	43.167	1.000	1.464	0.683	0.857
122	5	31.900	43.300	1.000	1.553	0.644	0.909
123	1	430.500	42.500	1.000	1.000	1.000	1.000
124	6	703.500	43.000	1.000	1.500	0.667	1.000
125	1	765.500	42.500	1.000	1.000	1.000	1.000
126	6	789.500	43.000	1.000	1.500	0.667	1.000
127	9	41.389	44.833	1.000	1.340	0.746	0.857
128	16	68.500	46.375	1.000	1.441	0.694	0.889
129	1	241.500	44.500	1.000	1.000	1.000	1.000
130	5	377.300	45.300	0.674	2.749	0.364	0.769
131	2	461.000	44.500	1.000	2.000	0.500	1.000
132	11	540.318	46.045	0.976	1.450	0.689	0.846
133	10	912.000	45.500	1.000	1.551	0.645	0.909
134	1	49.500	45.500	1.000	1.000	1.000	1.000
135	11	509.864	46.591	1.000	1.372	0.729	0.957
136	7	177.500	47.214	1.000	1.069	0.936	0.875
137	1	335.500	46.500	1.000	1.000	1.000	1.000
138	10	749.600	47.800	0.887	2.041	0.490	0.800
139	4	391.000	48.000	1.000	1.000	1.000	1.000
140	10	723.000	48.700	1.000	1.384	0.723	0.909
141	3	97.500	48.500	0.967	3.000	0.333	1.000
142	4	854.500	49.250	1.000	1.468	0.681	0.800
143	6	88.000	50.500	1.000	1.500	0.667	1.000
144	6	413.500	50.000	1.000	1.500	0.667	1.000
145	11	443.955	50.500	0.887	1.597	0.626	0.846
146	5	576.700	49.900	1.000	1.553	0.644	0.909
147	2	673.500	50.000	1.000	2.000	0.500	1.000
148	1	921.500	49.500	1.000	1.000	1.000	1.000
149	11	78.682	52.045	1.000	1.450	0.689	0.846
