 	Area	XM	YM	Circ.	AR	Round	Solidity
1	12	39.167	11.583	0.967	1.218	0.821	0.889
2	1	307.500	10.500	1.000	1.000	1.000	1.000
3	10	348.700	12.800	0.806	2.198	0.455	0.833
4	13	400.269	10.962	0.719	3.340	0.299	0.963
5	2	424.000	11.000	0.785	2.646	0.378	0.667
6	5	434.900	10.700	0.764	2.188	0.457	0.769
7	1	773.500	10.500	1.000	1.000	1.000	1.000
8	10	811.000	11.300	1.000	1.327	0.753	0.909
9	2	827.500	11.000	1.000	2.000	0.500	1.000
10	13	938.808	12.423	0.922	1.145	0.874	0.812
11	4	958.000	10.500	0.740	4.000	0.250	1.000
12	5	583.900	12.300	1.000	1.553	0.644	0.909
13	7	358.214	13.500	1.000	1.069	0.936	0.875
14	1	334.500	13.500	1.000	1.000	1.000	1.000
15	7	695.786	13.929	1.000	1.936	0.517	0.933
16	4	177.000	15.000	1.000	1.000	1.000	1.000
17	1	462.500	14.500	1.000	1.000	1.000	1.000
18	13	593.885	16.115	1.000	1.159	0.863	0.897
19	9	999.056	16.056	0.799	1.679	0.596	0.750
20	7	1008.500	15.500	1.000	1.596	0.626	0.875
21	4	156.000	16.000	1.000	1.000	1.000	1.000
22	4	299.000	16.000	1.000	1.000	1.000	1.000
23	8	649.000	17.500	0.740	2.392	0.418	0.889
24	5	985.500	16.500	0.873	1.000	1.000	0.714
25	3	53.833	17.167	1.000	1.464	0.683	0.857
26	1	565.500	16.500	1.000	1.000	1.000	1.000
27	14	746.714	17.857	0.993	1.264	0.791	0.848
28	2	755.500	17.000	1.000	2.000	0.500	1.000
29	10	326.700	18.900	0.650	2.512	0.398	0.769
30	3	638.167	18.167	1.000	1.464	0.683	0.857
31	4	775.000	18.000	1.000	1.000	1.000	1.000
32	7	791.500	18.214	1.000	1.069	0.936	0.875
33	2	103.000	19.500	1.000	2.000	0.500	1.000
34	4	410.000	20.000	1.000	1.000	1.000	1.000
35	5	435.300	19.900	1.000	1.553	0.644	0.909
36	10	233.700	21.500	1.000	1.236	0.809	0.909
37	4	403.000	20.500	0.740	4.000	0.250	1.000
38	1	526.500	20.500	1.000	1.000	1.000	1.000
39	3	621.167	21.167	1.000	1.464	0.683	0.857
40	12	497.167	23.250	1.000	1.135	0.881	0.857
41	8	899.375	22.625	1.000	1.229	0.814	0.941
42	2	666.500	23.000	1.000	2.000	0.500	1.000
43	7	176.786	24.500	1.000	1.069	0.936	0.875
44	4	379.750	24.500	0.857	1.468	0.681	0.800
45	9	516.167	24.611	1.000	1.340	0.746	0.857
46	4	658.000	24.000	1.000	1.000	1.000	1.000
47	3	952.833	23.833	1.000	1.464	0.683	0.857
48	5	1008.700	24.100	1.000	1.553	0.644	0.909
49	7	466.500	25.500	1.000	1.596	0.626	0.875
