 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	14.900	11.300	1.000	1.553	0.644	0.909
2	1	137.500	10.500	1.000	1.000	1.000	1.000
3	4	196.500	10.750	1.000	1.468	0.681	0.800
4	3	229.833	11.167	1.000	1.464	0.683	0.857
5	1	321.500	10.500	1.000	1.000	1.000	1.000
6	11	339.773	11.409	0.887	1.892	0.528	0.880
7	4	369.000	10.500	0.740	4.000	0.250	1.000
8	11	390.682	10.773	0.443	4.798	0.208	0.815
9	4	414.500	10.750	1.000	1.468	0.681	0.800
10	7	422.214	10.929	0.943	1.936	0.517	0.933
11	6	481.333	11.167	0.916	1.124	0.890	0.800
12	6	586.000	10.833	0.916	1.809	0.553	0.857
13	6	620.500	11.000	1.000	1.500	0.667	1.000
14	3	703.167	10.833	1.000	1.464	0.683	0.857
15	2	767.500	11.000	1.000	2.000	0.500	1.000
16	1	883.500	10.500	1.000	1.000	1.000	1.000
17	1	1001.500	10.500	1.000	1.000	1.000	1.000
18	2	95.500	12.000	1.000	2.000	0.500	1.000
19	4	249.750	12.500	0.857	1.468	0.681	0.800
20	4	451.000	12.000	1.000	1.000	1.000	1.000
21	4	539.500	11.750	1.000	1.468	0.681	0.800
22	5	638.900	12.700	1.000	1.553	0.644	0.909
23	2	712.500	12.000	1.000	2.000	0.500	1.000
24	1	814.500	11.500	1.000	1.000	1.000	1.000
25	4	11.000	13.000	1.000	1.000	1.000	1.000
26	1	549.500	12.500	1.000	1.000	1.000	1.000
27	7	679.643	13.071	0.718	2.731	0.366	0.824
28	10	59.900	15.100	0.982	1.165	0.858	0.769
29	5	922.100	14.700	1.000	1.553	0.644	0.909
30	5	128.900	15.300	1.000	1.553	0.644	0.909
31	8	295.000	16.500	0.740	2.392	0.418	0.889
32	12	330.500	16.000	1.000	1.333	0.750	1.000
33	5	576.700	14.900	1.000	1.553	0.644	0.909
34	9	785.167	15.389	1.000	1.340	0.746	0.857
35	8	946.500	17.000	0.914	1.195	0.837	0.800
36	1	1013.500	15.500	1.000	1.000	1.000	1.000
