 	Area	XM	YM	Circ.	AR	Round	Solidity
1	12	12.583	12.167	1.000	1.218	0.821	0.889
2	4	43.000	11.000	1.000	1.000	1.000	1.000
3	8	67.750	10.875	0.588	3.432	0.291	0.800
4	1	159.500	10.500	1.000	1.000	1.000	1.000
5	2	215.000	10.500	1.000	2.000	0.500	1.000
6	11	231.773	10.955	0.809	2.858	0.350	0.957
7	6	367.000	10.833	0.916	1.809	0.553	0.857
8	13	435.500	11.500	1.000	1.735	0.576	0.929
9	16	458.375	11.375	0.419	4.733	0.211	0.762
10	10	481.300	12.000	1.000	1.327	0.753	0.909
11	6	510.000	11.000	0.916	2.082	0.480	0.857
12	7	531.357	10.643	0.472	4.378	0.228	0.737
13	4	552.000	10.500	0.740	4.000	0.250	1.000
14	5	637.900	11.700	1.000	1.553	0.644	0.909
15	2	694.000	10.500	1.000	2.000	0.500	1.000
16	2	781.000	10.500	1.000	2.000	0.500	1.000
17	8	797.375	11.375	1.000	1.229	0.814	0.941
18	3	805.500	11.500	0.809	3.000	0.333	1.000
19	9	975.167	11.389	1.000	1.340	0.746	0.857
20	2	174.000	11.500	1.000	2.000	0.500	1.000
21	4	194.000	12.000	1.000	1.000	1.000	1.000
22	8	721.375	12.625	1.000	1.229	0.814	0.941
23	8	732.125	11.875	0.820	2.564	0.390	0.889
24	11	750.955	14.227	0.741	2.858	0.350	0.957
25	5	388.900	13.700	1.000	1.553	0.644	0.909
26	13	491.500	13.654	1.000	1.622	0.617	0.929
27	7	580.500	13.214	1.000	1.069	0.936	0.875
28	8	358.125	14.750	1.000	1.605	0.623	0.800
29	1	985.500	13.500	1.000	1.000	1.000	1.000
30	11	340.500	16.773	0.571	3.484	0.287	0.710
31	13	420.269	16.269	0.922	1.420	0.704	0.812
32	1	649.500	14.500	1.000	1.000	1.000	1.000
33	1	443.500	15.500	1.000	1.000	1.000	1.000
34	2	521.500	16.000	1.000	2.000	0.500	1.000
35	4	104.250	17.750	0.857	2.000	0.500	0.800
36	4	142.500	17.000	1.000	2.031	0.492	0.800
37	1	471.500	16.500	1.000	1.000	1.000	1.000
38	5	502.300	17.100	1.000	1.553	0.644	0.909
39	8	549.125	17.875	0.645	2.648	0.378	0.762
40	14	566.357	17.571	1.000	1.662	0.602	0.966
41	1	761.500	16.500	1.000	1.000	1.000	1.000
42	2	790.000	16.500	1.000	2.000	0.500	1.000
43	1	238.500	17.500	1.000	1.000	1.000	1.000
44	3	741.167	18.167	1.000	1.464	0.683	0.857
45	4	906.250	18.500	0.857	1.468	0.681	0.800
46	5	295.300	18.900	1.000	1.553	0.644	0.909
47	9	530.389	19.833	0.799	2.013	0.497	0.783
48	5	554.300	19.100	1.000	1.553	0.644	0.909
49	8	429.375	20.375	1.000	1.229	0.814	0.941
50	3	656.500	20.500	0.809	3.000	0.333	1.000
51	3	715.833	20.167	1.000	1.464	0.683	0.857
52	1	964.500	19.500	1.000	1.000	1.000	1.000
53	6	14.667	21.667	1.000	1.291	0.775	0.800
54	2	70.500	21.000	1.000	2.000	0.500	1.000
55	1	82.500	20.500	1.000	1.000	1.000	1.000
56	1	94.500	20.500	1.000	1.000	1.000	1.000
57	7	352.500	21.500	1.000	1.596	0.626	0.875
58	5	371.100	21.300	1.000	1.553	0.644	0.909
59	2	781.000	20.500	1.000	2.000	0.500	1.000
60	4	976.000	21.000	1.000	1.000	1.000	1.000
61	5	994.300	20.900	1.000	1.553	0.644	0.909
62	7	114.786	22.643	1.000	1.380	0.725	0.875
63	6	439.000	22.000	0.916	2.082	0.480	0.857
64	10	462.700	22.500	1.000	1.236	0.809	0.909
65	10	579.800	23.200	0.982	1.241	0.806	0.800
66	1	189.500	22.500	1.000	1.000	1.000	1.000
67	7	363.214	23.357	1.000	1.380	0.725	0.875
68	15	539.900	23.700	0.976	2.021	0.495	0.909
69	1	1004.500	22.500	1.000	1.000	1.000	1.000
70	12	334.083	25.250	1.000	1.281	0.780	0.857
71	6	382.000	24.000	0.916	2.082	0.480	0.857
72	10	475.300	24.600	1.000	1.288	0.776	0.909
73	4	226.250	25.500	0.857	1.468	0.681	0.800
74	15	522.300	26.233	1.000	1.720	0.581	0.882
75	6	770.500	25.000	1.000	1.500	0.667	1.000
76	4	207.000	26.000	1.000	1.000	1.000	1.000
77	10	420.200	26.700	0.887	1.491	0.670	0.800
78	3	846.167	26.167	1.000	1.464	0.683	0.857
79	9	343.833	27.611	1.000	1.340	0.746	0.857
80	7	720.500	27.214	1.000	1.069	0.936	0.875
81	4	123.000	28.500	0.857	2.031	0.492	0.800
82	2	217.500	28.000	1.000	2.000	0.500	1.000
83	2	505.000	27.500	1.000	2.000	0.500	1.000
84	11	571.136	28.409	1.000	1.372	0.729	0.957
85	1	53.500	28.500	1.000	1.000	1.000	1.000
86	2	62.500	29.000	1.000	2.000	0.500	1.000
87	10	988.800	29.500	0.497	4.369	0.229	0.667
88	7	373.786	30.500	1.000	1.069	0.936	0.875
89	4	684.750	30.500	0.857	1.468	0.681	0.800
90	1	779.500	29.500	1.000	1.000	1.000	1.000
91	5	354.100	31.700	1.000	1.553	0.644	0.909
92	11	364.682	32.318	0.976	1.035	0.966	0.846
93	2	485.000	30.500	1.000	2.000	0.500	1.000
94	2	1008.000	30.500	1.000	2.000	0.500	1.000
95	16	16.312	32.812	1.000	1.292	0.774	0.889
96	8	853.750	33.250	0.914	1.416	0.706	0.800
97	6	88.500	33.000	1.000	1.500	0.667	1.000
98	12	114.333	33.833	0.931	1.606	0.623	0.774
99	10	440.500	34.300	1.000	1.236	0.809	0.909
100	6	516.000	33.000	0.916	2.082	0.480	0.857
101	10	25.900	35.200	0.806	1.894	0.528	0.833
102	12	414.333	34.417	1.000	1.579	0.633	0.889
