 	Area	XM	YM	Circ.	AR	Round	Solidity
1	6	159.333	10.833	0.809	2.237	0.447	0.857
2	4	195.000	11.000	1.000	1.000	1.000	1.000
3	2	320.000	10.500	1.000	2.000	0.500	1.000
4	6	334.333	10.833	0.809	2.237	0.447	0.857
5	4	434.000	11.000	1.000	1.000	1.000	1.000
6	8	459.250	10.750	0.588	3.152	0.317	0.800
7	8	548.250	10.750	0.588	3.152	0.317	0.800
8	7	590.500	11.214	1.000	1.069	0.936	0.875
9	2	619.000	10.500	1.000	2.000	0.500	1.000
10	5	666.300	10.900	1.000	1.553	0.644	0.909
11	6	695.000	11.500	1.000	1.500	0.667	1.000
12	2	796.000	10.500	1.000	2.000	0.500	1.000
13	7	809.357	11.214	1.000	1.380	0.725	0.875
14	3	845.500	10.500	0.967	3.000	0.333	1.000
15	3	929.500	10.500	0.967	3.000	0.333	1.000
16	3	956.500	10.500	0.967	3.000	0.333	1.000
17	3	136.500	11.500	0.967	3.000	0.333	1.000
18	10	512.500	13.000	1.000	1.551	0.645	0.909
19	8	754.375	12.375	1.000	1.229	0.814	0.941
20	9	834.833	12.389	1.000	1.340	0.746	0.857
21	3	610.833	13.167	1.000	1.464	0.683	0.857
22	6	150.667	14.667	1.000	1.291	0.775	0.800
23	2	180.500	14.000	1.000	2.000	0.500	1.000
24	1	335.500	13.500	1.000	1.000	1.000	1.000
25	11	462.682	15.409	0.887	2.173	0.460	0.846
26	1	1008.500	13.500	1.000	1.000	1.000	1.000
27	3	58.833	14.833	1.000	1.464	0.683	0.857
28	4	325.250	15.500	0.857	1.468	0.681	0.800
29	1	529.500	14.500	1.000	1.000	1.000	1.000
30	1	999.500	14.500	1.000	1.000	1.000	1.000
31	2	1013.500	15.000	1.000	2.000	0.500	1.000
32	1	579.500	15.500	1.000	1.000	1.000	1.000
33	10	705.000	16.500	1.000	1.551	0.645	0.909
34	5	991.700	16.100	1.000	1.553	0.644	0.909
35	1	493.500	16.500	1.000	1.000	1.000	1.000
36	5	501.900	17.300	1.000	1.553	0.644	0.909
37	6	124.500	18.000	1.000	1.500	0.667	1.000
38	1	405.500	17.500	1.000	1.000	1.000	1.000
39	2	538.500	18.000	1.000	2.000	0.500	1.000
40	3	954.833	18.167	1.000	1.464	0.683	0.857
41	2	316.000	19.500	1.000	2.000	0.500	1.000
42	8	717.375	20.625	1.000	1.229	0.814	0.941
43	2	911.500	21.000	1.000	2.000	0.500	1.000
44	1	419.500	21.500	1.000	1.000	1.000	1.000
45	6	435.000	22.500	1.000	1.500	0.667	1.000
46	2	526.000	22.500	1.000	2.000	0.500	1.000
47	5	655.700	23.100	1.000	1.553	0.644	0.909
48	3	189.833	23.833	1.000	1.464	0.683	0.857
49	4	575.000	24.000	1.000	1.000	1.000	1.000
50	1	619.500	23.500	1.000	1.000	1.000	1.000
51	4	68.250	25.500	0.857	1.468	0.681	0.800
52	9	385.389	26.167	1.000	1.340	0.746	0.857
53	6	768.500	25.000	1.000	1.500	0.667	1.000
54	3	983.833	24.833	1.000	1.464	0.683	0.857
55	15	994.833	25.433	0.976	1.869	0.535	0.909
56	2	181.500	26.000	1.000	2.000	0.500	1.000
57	2	686.000	25.500	1.000	2.000	0.500	1.000
58	4	89.000	27.000	1.000	1.000	1.000	1.000
59	2	287.000	26.500	1.000	2.000	0.500	1.000
60	3	348.833	26.833	1.000	1.464	0.683	0.857
61	1	362.500	26.500	1.000	1.000	1.000	1.000
62	6	556.500	27.000	1.000	1.500	0.667	1.000
63	3	937.167	26.833	1.000	1.464	0.683	0.857
64	6	798.000	28.500	1.000	1.500	0.667	1.000
65	6	124.000	29.500	1.000	1.500	0.667	1.000
66	4	470.000	29.000	1.000	1.000	1.000	1.000
67	3	661.833	28.833	1.000	1.464	0.683	0.857
68	5	30.100	31.700	1.000	1.553	0.644	0.909
69	1	103.500	30.500	1.000	1.000	1.000	1.000
70	7	523.500	31.214	1.000	1.069	0.936	0.875
71	2	325.500	32.000	1.000	2.000	0.500	1.000
