 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	15.000	10.500	1.000	2.000	0.500	1.000
2	1	70.500	10.500	1.000	1.000	1.000	1.000
3	2	85.000	10.500	1.000	2.000	0.500	1.000
4	1	108.500	10.500	1.000	1.000	1.000	1.000
5	5	127.900	11.700	1.000	1.553	0.644	0.909
6	3	151.500	10.500	0.967	3.000	0.333	1.000
7	3	229.833	11.167	1.000	1.464	0.683	0.857
8	2	251.000	10.500	1.000	2.000	0.500	1.000
9	1	264.500	10.500	1.000	1.000	1.000	1.000
10	7	309.500	11.786	1.000	1.069	0.936	0.875
11	6	339.500	11.000	1.000	1.500	0.667	1.000
12	8	373.375	11.375	1.000	1.229	0.814	0.941
13	3	390.500	10.500	0.967	3.000	0.333	1.000
14	1	432.500	10.500	1.000	1.000	1.000	1.000
15	3	469.500	10.500	0.967	3.000	0.333	1.000
16	1	488.500	10.500	1.000	1.000	1.000	1.000
17	2	563.000	10.500	1.000	2.000	0.500	1.000
18	3	709.500	10.500	0.967	3.000	0.333	1.000
19	2	715.000	10.500	1.000	2.000	0.500	1.000
20	3	912.500	10.500	0.967	3.000	0.333	1.000
21	1	985.500	10.500	1.000	1.000	1.000	1.000
22	2	990.000	10.500	1.000	2.000	0.500	1.000
23	2	996.000	10.500	1.000	2.000	0.500	1.000
24	2	423.000	11.500	1.000	2.000	0.500	1.000
25	1	651.500	11.500	1.000	1.000	1.000	1.000
26	5	721.300	14.700	0.873	2.308	0.433	0.769
27	6	71.667	15.667	1.000	1.291	0.775	0.800
28	2	162.500	15.000	1.000	2.000	0.500	1.000
29	1	625.500	14.500	1.000	1.000	1.000	1.000
30	4	33.500	16.000	1.000	2.031	0.492	0.800
31	1	68.500	15.500	1.000	1.000	1.000	1.000
32	3	194.833	16.167	1.000	1.464	0.683	0.857
33	5	139.700	17.100	1.000	1.553	0.644	0.909
34	6	529.000	16.833	0.916	1.809	0.553	0.857
35	2	579.500	17.000	1.000	2.000	0.500	1.000
36	7	603.929	17.643	0.898	1.387	0.721	0.737
37	9	634.500	17.500	1.000	1.000	1.000	1.000
38	3	644.167	16.833	1.000	1.464	0.683	0.857
39	9	659.611	17.278	1.000	1.539	0.650	0.900
40	2	767.000	16.500	1.000	2.000	0.500	1.000
41	1	43.500	17.500	1.000	1.000	1.000	1.000
42	1	45.500	17.500	1.000	1.000	1.000	1.000
43	3	91.833	18.167	1.000	1.464	0.683	0.857
44	6	559.667	18.667	1.000	1.291	0.775	0.800
45	7	570.786	18.500	1.000	1.069	0.936	0.875
46	9	408.167	19.833	0.923	1.758	0.569	0.857
47	13	961.192	19.731	0.922	1.601	0.625	0.812
48	8	971.000	19.000	1.000	2.000	0.500	1.000
49	4	998.000	19.000	1.000	1.000	1.000	1.000
50	11	978.773	20.045	0.809	2.858	0.350	0.957
51	8	372.000	22.000	1.000	2.000	0.500	1.000
52	5	150.700	22.100	1.000	1.553	0.644	0.909
53	11	184.045	23.318	0.976	1.450	0.689	0.846
54	6	327.500	22.000	1.000	1.500	0.667	1.000
55	6	520.000	22.000	0.916	2.082	0.480	0.857
56	1	714.500	21.500	1.000	1.000	1.000	1.000
57	4	314.750	23.500	0.857	1.468	0.681	0.800
58	1	458.500	22.500	1.000	1.000	1.000	1.000
59	6	746.500	23.000	1.000	1.500	0.667	1.000
60	5	834.900	23.300	1.000	1.553	0.644	0.909
61	1	666.500	23.500	1.000	1.000	1.000	1.000
62	4	343.000	25.000	1.000	1.000	1.000	1.000
63	8	531.250	25.750	0.914	1.416	0.706	0.800
64	9	11.833	26.389	1.000	1.340	0.746	0.857
65	9	551.278	26.500	0.799	1.610	0.621	0.750
66	1	581.500	25.500	1.000	1.000	1.000	1.000
67	9	788.167	26.611	1.000	1.340	0.746	0.857
68	4	899.500	26.250	1.000	1.468	0.681	0.800
69	2	213.000	26.500	1.000	2.000	0.500	1.000
70	2	244.500	27.000	1.000	2.000	0.500	1.000
71	5	415.300	26.900	1.000	1.553	0.644	0.909
72	3	570.167	27.167	1.000	1.464	0.683	0.857
73	1	598.500	26.500	1.000	1.000	1.000	1.000
74	3	635.167	27.833	1.000	1.464	0.683	0.857
75	6	675.333	28.667	1.000	1.291	0.775	0.800
76	3	696.167	29.167	1.000	1.464	0.683	0.857
77	1	515.500	29.500	1.000	1.000	1.000	1.000
78	1	205.500	30.500	1.000	1.000	1.000	1.000
79	3	87.833	31.833	1.000	1.464	0.683	0.857
80	8	273.250	32.500	0.914	1.554	0.644	0.800
81	3	457.167	31.833	1.000	1.464	0.683	0.857
82	4	102.000	33.000	1.000	1.000	1.000	1.000
83	10	296.700	33.500	1.000	1.236	0.809	0.909
84	2	517.500	33.000	1.000	2.000	0.500	1.000
85	13	575.115	34.885	1.000	1.159	0.863	0.897
86	5	926.900	34.700	1.000	1.553	0.644	0.909
87	1	1013.500	33.500	1.000	1.000	1.000	1.000
88	7	392.786	35.500	1.000	1.069	0.936	0.875
89	1	526.500	34.500	1.000	1.000	1.000	1.000
90	5	610.700	35.100	1.000	1.553	0.644	0.909
91	9	917.278	35.056	0.923	2.386	0.419	0.947
92	3	1000.167	34.833	1.000	1.464	0.683	0.857
93	5	539.300	35.900	1.000	1.553	0.644	0.909
94	4	50.750	37.500	0.857	1.468	0.681	0.800
95	8	755.125	37.250	0.914	1.605	0.623	0.800
96	1	65.500	37.500	1.000	1.000	1.000	1.000
97	2	74.500	38.000	1.000	2.000	0.500	1.000
98	12	39.000	40.000	1.000	1.000	1.000	0.857
99	1	383.500	38.500	1.000	1.000	1.000	1.000
100	4	29.000	40.000	1.000	1.000	1.000	1.000
101	8	140.000	40.000	1.000	2.000	0.500	1.000
102	1	264.500	39.500	1.000	1.000	1.000	1.000
