 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	93.500	10.500	0.967	3.000	0.333	1.000
2	6	159.667	11.333	1.000	1.291	0.775	0.800
3	2	271.000	10.500	1.000	2.000	0.500	1.000
4	4	295.000	10.500	0.740	4.000	0.250	1.000
5	3	400.500	10.500	0.967	3.000	0.333	1.000
6	5	474.700	10.900	1.000	1.553	0.644	0.909
7	7	485.500	11.214	1.000	1.069	0.936	0.875
8	15	515.367	12.033	1.000	1.127	0.887	0.857
9	6	694.500	11.000	1.000	1.500	0.667	1.000
10	2	714.000	10.500	1.000	2.000	0.500	1.000
11	2	820.000	10.500	1.000	2.000	0.500	1.000
12	4	984.500	11.000	1.000	2.031	0.492	0.800
13	12	993.000	11.000	0.809	3.000	0.333	1.000
14	4	40.250	12.500	0.857	1.468	0.681	0.800
15	6	550.000	13.000	0.809	2.082	0.480	0.857
16	11	79.591	14.864	1.000	1.372	0.729	0.957
17	6	137.500	14.000	1.000	1.500	0.667	1.000
18	6	228.500	14.000	1.000	1.500	0.667	1.000
19	6	639.500	14.000	1.000	1.500	0.667	1.000
20	7	809.643	15.071	0.800	1.387	0.721	0.737
21	2	967.000	13.500	1.000	2.000	0.500	1.000
22	2	975.000	13.500	1.000	2.000	0.500	1.000
23	8	338.375	16.000	0.914	1.308	0.764	0.800
24	1	794.500	14.500	1.000	1.000	1.000	1.000
25	1	268.500	16.500	1.000	1.000	1.000	1.000
26	10	325.500	17.000	0.925	2.500	0.400	1.000
27	16	375.188	18.688	0.831	2.430	0.411	0.800
28	7	534.786	17.500	1.000	1.069	0.936	0.875
29	8	447.625	18.375	1.000	1.229	0.814	0.941
30	7	708.071	18.214	0.898	1.668	0.600	0.778
31	6	771.667	18.333	1.000	1.291	0.775	0.800
32	1	1008.500	17.500	1.000	1.000	1.000	1.000
33	9	292.611	19.833	1.000	1.340	0.746	0.857
34	13	52.885	20.885	1.000	1.159	0.863	0.897
35	7	70.214	20.500	1.000	1.069	0.936	0.875
36	4	493.000	20.000	1.000	1.000	1.000	1.000
37	11	646.864	20.409	1.000	1.372	0.729	0.957
38	1	751.500	19.500	1.000	1.000	1.000	1.000
39	4	982.500	20.250	1.000	1.468	0.681	0.800
40	6	60.500	21.000	1.000	1.500	0.667	1.000
41	1	518.500	20.500	1.000	1.000	1.000	1.000
42	4	558.000	21.000	1.000	1.000	1.000	1.000
43	5	621.300	21.100	1.000	1.553	0.644	0.909
44	6	928.333	22.167	0.809	2.237	0.447	0.857
45	1	931.500	21.500	1.000	1.000	1.000	1.000
46	1	106.500	22.500	1.000	1.000	1.000	1.000
47	7	946.214	22.929	0.943	1.936	0.517	0.933
48	6	32.000	24.500	1.000	1.500	0.667	1.000
49	1	815.500	23.500	1.000	1.000	1.000	1.000
50	1	667.500	24.500	1.000	1.000	1.000	1.000
51	4	135.000	26.000	1.000	1.000	1.000	1.000
52	8	269.625	26.375	1.000	1.229	0.814	0.941
53	12	469.167	27.250	1.000	1.135	0.881	0.857
54	1	655.500	25.500	1.000	1.000	1.000	1.000
55	5	1001.300	26.100	1.000	1.553	0.644	0.909
56	6	97.000	27.500	1.000	1.500	0.667	1.000
57	5	583.300	27.100	1.000	1.553	0.644	0.909
58	3	868.833	27.167	1.000	1.464	0.683	0.857
59	12	1012.083	27.417	0.719	1.822	0.549	0.828
60	9	298.833	28.611	1.000	1.340	0.746	0.857
61	1	115.500	28.500	1.000	1.000	1.000	1.000
62	4	500.250	30.000	0.539	3.093	0.323	0.667
63	2	693.500	29.000	1.000	2.000	0.500	1.000
64	3	21.500	29.500	0.967	3.000	0.333	1.000
65	6	451.000	30.500	1.000	1.500	0.667	1.000
66	9	533.500	30.500	1.000	1.000	1.000	1.000
67	3	958.833	29.833	1.000	1.464	0.683	0.857
68	5	56.700	31.100	1.000	1.553	0.644	0.909
69	1	132.500	30.500	1.000	1.000	1.000	1.000
70	9	143.500	31.500	1.000	1.000	1.000	1.000
71	2	524.000	30.500	1.000	2.000	0.500	1.000
72	12	260.167	33.750	1.000	1.135	0.881	0.857
73	1	927.500	32.500	1.000	1.000	1.000	1.000
74	6	107.000	34.500	1.000	1.500	0.667	1.000
75	1	209.500	33.500	1.000	1.000	1.000	1.000
76	9	393.611	35.389	0.799	2.113	0.473	0.818
77	2	345.500	35.000	1.000	2.000	0.500	1.000
78	9	355.500	35.500	1.000	1.000	1.000	1.000
79	3	654.833	35.833	1.000	1.464	0.683	0.857
80	2	967.000	35.500	1.000	2.000	0.500	1.000
81	5	996.300	35.900	1.000	1.553	0.644	0.909
82	1	578.500	36.500	1.000	1.000	1.000	1.000
83	9	780.500	37.500	1.000	1.000	1.000	1.000
84	7	595.643	39.071	0.800	1.387	0.721	0.737
85	2	902.500	38.000	1.000	2.000	0.500	1.000
86	4	986.000	38.000	1.000	1.000	1.000	1.000
87	9	51.389	40.389	0.923	1.343	0.745	0.857
88	1	71.500	38.500	1.000	1.000	1.000	1.000
89	1	408.500	38.500	1.000	1.000	1.000	1.000
90	5	60.900	40.700	1.000	1.553	0.644	0.909
91	16	528.812	40.938	0.857	2.272	0.440	0.821
92	5	647.700	40.500	0.873	1.496	0.668	0.714
93	4	738.500	39.750	1.000	1.468	0.681	0.800
94	1	1010.500	39.500	1.000	1.000	1.000	1.000
95	1	493.500	40.500	1.000	1.000	1.000	1.000
96	5	541.300	40.900	1.000	1.553	0.644	0.909
97	8	718.375	42.500	0.645	2.750	0.364	0.762
98	2	635.500	42.000	1.000	2.000	0.500	1.000
99	2	125.500	43.000	1.000	2.000	0.500	1.000
100	7	228.214	43.500	1.000	1.069	0.936	0.875
101	1	345.500	42.500	1.000	1.000	1.000	1.000
102	11	478.955	44.227	0.809	1.915	0.522	0.880
103	4	998.500	44.000	1.000	2.031	0.492	0.800
104	3	1013.500	44.500	0.809	3.000	0.333	1.000
105	4	384.500	44.750	1.000	1.468	0.681	0.800
106	4	625.000	45.000	1.000	1.000	1.000	1.000
107	11	689.318	45.955	0.976	1.450	0.689	0.846
108	8	1003.750	45.875	0.710	2.310	0.433	0.696
109	2	12.000	45.500	1.000	2.000	0.500	1.000
110	10	83.300	46.500	1.000	1.236	0.809	0.909
111	1	171.500	45.500	1.000	1.000	1.000	1.000
112	7	577.929	46.214	0.898	1.668	0.600	0.778
113	2	27.000	46.500	1.000	2.000	0.500	1.000
114	4	427.000	47.000	1.000	1.000	1.000	1.000
115	2	438.000	46.500	1.000	2.000	0.500	1.000
116	6	555.000	46.833	0.916	1.809	0.553	0.857
117	2	788.000	47.000	0.785	2.646	0.378	0.667
118	2	985.000	46.500	1.000	2.000	0.500	1.000
119	1	989.500	46.500	1.000	1.000	1.000	1.000
120	2	31.000	48.000	0.785	2.646	0.378	0.667
121	11	461.045	48.864	1.000	1.139	0.878	0.815
122	10	469.000	48.500	1.000	1.551	0.645	0.909
123	6	512.667	48.667	1.000	1.291	0.775	0.800
124	8	587.625	48.375	1.000	1.229	0.814	0.941
125	3	776.500	47.500	0.967	3.000	0.333	1.000
126	12	68.917	49.750	1.000	1.281	0.780	0.857
127	5	335.100	49.700	1.000	1.553	0.644	0.909
128	1	488.500	48.500	1.000	1.000	1.000	1.000
129	1	885.500	49.500	1.000	1.000	1.000	1.000
130	2	730.500	51.000	1.000	2.000	0.500	1.000
131	9	768.833	52.944	0.482	3.786	0.264	0.643
132	3	57.500	52.500	0.809	3.000	0.333	1.000
133	5	342.900	52.300	0.764	2.188	0.457	0.769
134	2	545.000	51.500	1.000	2.000	0.500	1.000
135	6	719.667	52.667	1.000	1.291	0.775	0.800
136	3	266.167	52.833	1.000	1.464	0.683	0.857
137	2	502.500	53.000	1.000	2.000	0.500	1.000
138	2	828.000	52.500	1.000	2.000	0.500	1.000
139	4	229.000	54.000	1.000	1.000	1.000	1.000
140	7	382.786	53.929	1.000	1.936	0.517	0.933
141	10	479.000	54.500	1.000	1.551	0.645	0.909
142	8	710.375	54.625	1.000	1.229	0.814	0.941
143	5	124.700	55.100	1.000	1.553	0.644	0.909
144	7	409.214	54.929	0.943	1.936	0.517	0.933
145	4	433.000	55.000	1.000	1.000	1.000	1.000
146	4	786.000	55.000	1.000	1.000	1.000	1.000
147	1	931.500	54.500	1.000	1.000	1.000	1.000
148	12	984.667	56.500	0.851	1.186	0.843	0.800
149	5	1012.700	54.900	1.000	1.553	0.644	0.909
150	11	26.227	56.500	0.976	1.714	0.583	0.846
151	4	79.750	56.250	0.857	2.000	0.500	0.800
152	2	207.500	56.000	1.000	2.000	0.500	1.000
153	3	313.167	55.833	1.000	1.464	0.683	0.857
154	9	993.500	56.500	1.000	1.000	1.000	1.000
155	4	398.000	57.000	1.000	1.000	1.000	1.000
156	4	565.000	57.500	0.857	2.031	0.492	0.800
157	5	647.100	57.700	1.000	1.553	0.644	0.909
158	12	661.167	58.000	1.000	1.281	0.781	0.857
159	8	738.750	57.500	1.000	1.554	0.644	0.800
160	8	34.750	58.500	0.645	2.982	0.335	0.727
161	4	173.000	58.000	1.000	1.000	1.000	1.000
162	11	328.227	59.227	0.887	1.603	0.624	0.880
163	2	821.000	57.500	1.000	2.000	0.500	1.000
164	1	855.500	57.500	1.000	1.000	1.000	1.000
165	4	88.000	59.000	1.000	1.000	1.000	1.000
166	4	864.250	59.500	0.857	1.468	0.681	0.800
167	11	538.136	60.409	1.000	1.372	0.729	0.957
168	2	684.000	59.500	1.000	2.000	0.500	1.000
169	4	946.750	60.500	0.857	1.468	0.681	0.800
170	5	114.300	60.900	1.000	1.553	0.644	0.909
171	4	269.000	61.000	1.000	1.000	1.000	1.000
172	5	336.500	61.500	0.873	1.000	1.000	0.714
173	10	874.500	62.300	1.000	1.236	0.809	0.909
174	7	929.786	61.500	1.000	1.069	0.936	0.875
175	3	317.833	62.167	1.000	1.464	0.683	0.857
176	8	548.375	62.375	1.000	1.229	0.814	0.941
177	4	752.000	62.000	1.000	1.000	1.000	1.000
178	5	609.900	63.300	1.000	1.553	0.644	0.909
179	2	384.000	63.500	1.000	2.000	0.500	1.000
180	2	692.500	64.000	1.000	2.000	0.500	1.000
181	5	22.500	65.500	0.873	1.000	1.000	0.714
182	1	308.500	64.500	1.000	1.000	1.000	1.000
