 	Area	XM	YM	Circ.	AR	Round	Solidity
1	10	68.400	11.200	0.887	1.445	0.692	0.833
2	3	162.500	10.500	0.967	3.000	0.333	1.000
3	1	182.500	10.500	1.000	1.000	1.000	1.000
4	1	265.500	10.500	1.000	1.000	1.000	1.000
5	8	283.125	11.750	0.710	1.804	0.554	0.762
6	3	399.500	10.500	0.967	3.000	0.333	1.000
7	2	502.000	10.500	1.000	2.000	0.500	1.000
8	11	511.591	11.864	1.000	1.372	0.729	0.957
9	9	532.944	11.167	1.000	1.536	0.651	0.857
10	1	550.500	10.500	1.000	1.000	1.000	1.000
11	3	575.167	11.167	1.000	1.464	0.683	0.857
12	2	606.000	10.500	1.000	2.000	0.500	1.000
13	2	647.000	10.500	1.000	2.000	0.500	1.000
14	3	660.500	10.500	0.967	3.000	0.333	1.000
15	5	691.100	10.700	0.764	2.188	0.457	0.769
16	3	700.500	10.500	0.967	3.000	0.333	1.000
17	11	721.955	10.864	0.609	3.615	0.277	0.880
18	2	796.000	10.500	1.000	2.000	0.500	1.000
19	2	905.000	10.500	1.000	2.000	0.500	1.000
20	26	1007.385	11.346	0.374	4.838	0.207	0.722
21	18	364.667	12.833	0.996	1.372	0.729	0.947
22	9	981.500	12.389	0.799	1.946	0.514	0.783
23	7	993.500	12.214	1.000	1.069	0.936	0.875
24	5	596.300	13.100	1.000	1.553	0.644	0.909
25	6	265.333	14.333	1.000	1.291	0.775	0.800
26	5	445.300	14.100	1.000	1.553	0.644	0.909
27	11	878.318	14.955	0.976	1.450	0.689	0.846
28	4	970.000	14.000	1.000	1.000	1.000	1.000
29	19	346.026	16.868	1.000	1.343	0.744	0.884
30	3	521.167	15.167	1.000	1.464	0.683	0.857
31	7	833.214	15.500	1.000	1.069	0.936	0.875
32	1	953.500	14.500	1.000	1.000	1.000	1.000
33	1	113.500	15.500	1.000	1.000	1.000	1.000
34	3	896.833	16.167	1.000	1.464	0.683	0.857
35	8	213.000	17.000	1.000	2.000	0.500	1.000
36	5	431.900	17.700	1.000	1.553	0.644	0.909
37	8	480.625	17.375	1.000	1.229	0.814	0.941
38	1	90.500	17.500	1.000	1.000	1.000	1.000
39	4	255.750	18.750	0.857	2.000	0.500	0.800
40	6	502.667	18.333	1.000	1.291	0.775	0.800
41	2	541.000	17.500	1.000	2.000	0.500	1.000
42	2	665.000	17.500	1.000	2.000	0.500	1.000
43	5	741.300	17.900	1.000	1.553	0.644	0.909
44	6	201.500	19.000	1.000	1.500	0.667	1.000
45	5	454.500	19.500	0.873	1.000	1.000	0.714
46	16	608.875	20.062	0.958	1.233	0.811	0.914
47	6	648.500	19.000	1.000	1.500	0.667	1.000
48	4	137.250	20.500	0.857	1.468	0.681	0.800
49	1	905.500	19.500	1.000	1.000	1.000	1.000
50	3	999.167	19.833	1.000	1.464	0.683	0.857
51	3	318.167	20.833	1.000	1.464	0.683	0.857
52	1	529.500	20.500	1.000	1.000	1.000	1.000
53	2	560.500	21.000	1.000	2.000	0.500	1.000
54	8	976.375	21.375	1.000	1.229	0.814	0.941
55	16	1008.312	21.875	1.000	1.568	0.638	0.914
56	2	396.500	22.000	1.000	2.000	0.500	1.000
57	1	527.500	21.500	1.000	1.000	1.000	1.000
58	8	580.500	23.000	0.914	1.195	0.837	0.800
59	2	683.000	21.500	1.000	2.000	0.500	1.000
60	1	702.500	21.500	1.000	1.000	1.000	1.000
61	7	20.500	23.214	1.000	1.069	0.936	0.875
62	1	179.500	22.500	1.000	1.000	1.000	1.000
63	3	381.500	22.500	0.967	3.000	0.333	1.000
64	11	958.136	23.591	1.000	1.372	0.729	0.957
65	1	54.500	23.500	1.000	1.000	1.000	1.000
66	7	657.357	24.929	0.800	1.387	0.721	0.737
67	1	989.500	23.500	1.000	1.000	1.000	1.000
68	15	192.567	26.100	1.000	1.295	0.772	0.857
69	2	535.500	25.000	1.000	2.000	0.500	1.000
70	11	30.409	27.227	0.887	1.892	0.528	0.880
71	2	337.500	26.000	1.000	2.000	0.500	1.000
72	6	833.500	26.000	1.000	1.500	0.667	1.000
73	10	156.900	28.300	0.887	1.587	0.630	0.800
74	2	210.000	26.500	1.000	2.000	0.500	1.000
75	3	286.500	26.500	0.967	3.000	0.333	1.000
76	10	627.400	27.700	1.000	1.288	0.776	0.909
77	8	913.625	27.625	1.000	1.229	0.814	0.941
78	2	309.000	27.500	1.000	2.000	0.500	1.000
79	6	471.500	28.000	1.000	1.500	0.667	1.000
80	10	544.300	29.000	1.000	1.327	0.753	0.909
