 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	71.500	11.000	1.000	2.000	0.500	1.000
2	4	155.000	11.000	1.000	1.000	1.000	1.000
3	4	190.500	10.750	1.000	1.468	0.681	0.800
4	1	199.500	10.500	1.000	1.000	1.000	1.000
5	1	228.500	10.500	1.000	1.000	1.000	1.000
6	1	234.500	10.500	1.000	1.000	1.000	1.000
7	2	298.000	10.500	1.000	2.000	0.500	1.000
8	2	366.500	11.000	1.000	2.000	0.500	1.000
9	6	378.500	11.000	1.000	1.500	0.667	1.000
10	6	422.833	11.167	0.916	1.593	0.628	0.857
11	6	443.833	11.333	0.916	1.124	0.890	0.800
12	2	480.500	11.000	1.000	2.000	0.500	1.000
13	4	524.500	11.250	1.000	1.468	0.681	0.800
14	4	607.000	11.000	1.000	1.000	1.000	1.000
15	3	703.500	10.500	0.967	3.000	0.333	1.000
16	5	725.300	10.900	1.000	1.553	0.644	0.909
17	2	763.000	10.500	1.000	2.000	0.500	1.000
18	6	771.500	11.000	1.000	1.500	0.667	1.000
19	1	923.500	10.500	1.000	1.000	1.000	1.000
20	3	954.500	10.500	0.967	3.000	0.333	1.000
21	2	974.000	10.500	1.000	2.000	0.500	1.000
22	1	116.500	11.500	1.000	1.000	1.000	1.000
23	2	310.000	11.500	1.000	2.000	0.500	1.000
24	6	388.000	12.500	1.000	1.500	0.667	1.000
25	8	145.125	13.875	0.785	1.019	0.981	0.696
26	1	25.500	13.500	1.000	1.000	1.000	1.000
27	6	85.667	14.333	1.000	1.291	0.775	0.800
28	3	319.833	14.167	1.000	1.464	0.683	0.857
29	8	714.000	14.500	1.000	1.195	0.837	0.800
30	5	19.300	14.900	1.000	1.553	0.644	0.909
31	4	854.000	15.000	1.000	1.000	1.000	1.000
32	1	554.500	15.500	1.000	1.000	1.000	1.000
33	2	753.500	16.000	1.000	2.000	0.500	1.000
34	10	1000.300	16.500	1.000	1.236	0.809	0.909
35	1	331.500	16.500	1.000	1.000	1.000	1.000
36	15	415.967	18.833	0.976	1.392	0.718	0.882
37	3	615.167	17.167	1.000	1.464	0.683	0.857
38	6	679.667	17.333	1.000	1.291	0.775	0.800
39	14	990.000	17.500	0.911	1.768	0.565	0.875
40	3	980.833	18.167	1.000	1.464	0.683	0.857
41	13	78.269	20.269	1.000	1.370	0.730	0.929
42	4	153.750	19.500	0.857	1.468	0.681	0.800
43	5	192.700	18.900	1.000	1.553	0.644	0.909
44	1	607.500	18.500	1.000	1.000	1.000	1.000
45	1	969.500	18.500	1.000	1.000	1.000	1.000
46	8	406.500	21.000	0.914	1.195	0.837	0.800
47	7	669.500	20.786	1.000	1.069	0.936	0.875
48	3	949.500	19.500	0.967	3.000	0.333	1.000
49	1	953.500	19.500	1.000	1.000	1.000	1.000
50	1	229.500	20.500	1.000	1.000	1.000	1.000
51	6	426.000	21.500	1.000	1.500	0.667	1.000
52	16	488.062	22.125	1.000	1.233	0.811	0.914
53	10	579.300	21.500	1.000	1.236	0.809	0.909
54	5	781.100	21.300	0.764	2.188	0.457	0.769
55	4	437.000	22.000	1.000	1.000	1.000	1.000
56	6	538.667	21.833	0.916	2.237	0.447	0.857
57	1	940.500	21.500	1.000	1.000	1.000	1.000
58	2	31.500	23.000	1.000	2.000	0.500	1.000
59	11	97.500	23.500	0.976	1.469	0.681	0.846
60	1	477.500	22.500	1.000	1.000	1.000	1.000
61	3	624.833	23.167	1.000	1.464	0.683	0.857
62	2	106.000	23.500	1.000	2.000	0.500	1.000
63	3	246.167	24.167	1.000	1.464	0.683	0.857
64	6	514.000	24.500	1.000	1.500	0.667	1.000
65	7	125.214	25.643	1.000	1.380	0.725	0.875
66	1	722.500	24.500	1.000	1.000	1.000	1.000
67	9	991.056	25.833	1.000	1.536	0.651	0.857
68	15	12.433	27.233	1.000	1.435	0.697	0.882
69	9	87.833	26.611	1.000	1.340	0.746	0.857
70	5	1001.500	25.900	0.764	1.653	0.605	0.833
71	2	367.500	27.000	1.000	2.000	0.500	1.000
72	1	661.500	26.500	1.000	1.000	1.000	1.000
73	7	973.214	27.071	0.943	1.936	0.517	0.933
74	10	572.000	29.000	0.982	2.217	0.451	0.833
75	2	679.000	27.500	1.000	2.000	0.500	1.000
76	8	798.375	29.250	0.914	1.939	0.516	0.842
77	7	173.500	29.500	1.000	1.596	0.626	0.875
78	6	773.500	29.000	1.000	1.500	0.667	1.000
79	2	788.500	29.000	1.000	2.000	0.500	1.000
80	10	134.500	31.300	1.000	1.236	0.809	0.909
81	3	191.167	29.833	1.000	1.464	0.683	0.857
82	1	510.500	30.500	1.000	1.000	1.000	1.000
83	1	778.500	30.500	1.000	1.000	1.000	1.000
84	9	97.278	33.167	1.000	1.185	0.844	0.857
85	3	210.833	31.833	1.000	1.464	0.683	0.857
86	6	500.667	32.333	1.000	1.291	0.775	0.800
87	2	653.500	32.000	1.000	2.000	0.500	1.000
88	12	67.583	34.667	0.967	1.579	0.633	0.889
89	4	447.000	33.000	1.000	1.000	1.000	1.000
90	1	729.500	32.500	1.000	1.000	1.000	1.000
91	9	163.944	35.278	0.832	2.386	0.419	0.947
92	8	76.125	36.500	0.740	2.232	0.448	0.889
93	1	300.500	34.500	1.000	1.000	1.000	1.000
94	8	546.500	36.000	0.914	1.195	0.837	0.800
95	5	982.300	35.500	0.873	1.496	0.668	0.714
96	3	690.167	35.833	1.000	1.464	0.683	0.857
97	4	853.000	36.000	1.000	1.000	1.000	1.000
98	10	974.800	36.200	0.806	1.853	0.540	0.800
99	4	1007.750	36.500	0.857	1.468	0.681	0.800
100	6	87.000	38.000	0.809	2.082	0.480	0.857
