 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	88.375	11.375	1.000	1.229	0.814	0.941
2	13	108.269	10.808	0.413	4.343	0.230	0.812
3	3	132.500	10.500	0.967	3.000	0.333	1.000
4	2	151.000	10.500	1.000	2.000	0.500	1.000
5	3	208.500	10.500	0.967	3.000	0.333	1.000
6	7	315.214	10.929	0.943	1.936	0.517	0.933
7	15	412.700	11.300	0.746	2.310	0.433	0.857
8	5	457.100	10.700	0.764	2.188	0.457	0.769
9	4	482.000	10.500	0.740	4.000	0.250	1.000
10	9	510.500	10.500	0.340	9.000	0.111	1.000
11	6	535.000	11.000	0.916	2.082	0.480	0.857
12	2	553.000	10.500	1.000	2.000	0.500	1.000
13	10	561.300	11.700	0.887	1.774	0.564	0.800
14	5	580.100	10.700	0.764	2.188	0.457	0.769
15	6	650.000	10.833	0.916	1.809	0.553	0.857
16	9	732.833	10.722	0.498	3.934	0.254	0.783
17	1	833.500	10.500	1.000	1.000	1.000	1.000
18	2	858.000	10.500	1.000	2.000	0.500	1.000
19	1	879.500	10.500	1.000	1.000	1.000	1.000
20	4	957.500	11.250	1.000	1.468	0.681	0.800
21	4	1004.000	10.500	0.740	4.000	0.250	1.000
22	7	1012.214	10.929	0.943	1.936	0.517	0.933
23	15	353.567	13.233	1.000	1.435	0.697	0.882
24	15	420.767	12.900	0.674	2.990	0.334	0.769
25	4	439.000	12.000	1.000	1.000	1.000	1.000
26	12	491.000	12.500	1.000	1.333	0.750	1.000
27	6	871.000	12.500	1.000	1.500	0.667	1.000
28	14	399.857	13.857	0.911	1.531	0.653	0.848
29	4	675.000	13.000	1.000	1.000	1.000	1.000
30	3	19.500	13.500	0.967	3.000	0.333	1.000
31	11	470.955	14.682	0.715	2.358	0.424	0.786
32	5	788.900	14.700	1.000	1.553	0.644	0.909
33	1	277.500	14.500	1.000	1.000	1.000	1.000
34	7	372.500	15.786	1.000	1.069	0.936	0.875
35	4	390.500	15.250	1.000	1.468	0.681	0.800
36	9	499.944	15.167	1.000	1.536	0.651	0.857
37	3	543.833	15.167	1.000	1.464	0.683	0.857
38	10	570.700	15.900	0.982	1.587	0.630	0.800
39	8	306.375	17.375	1.000	1.229	0.814	0.941
40	4	28.000	18.000	1.000	1.000	1.000	1.000
41	3	381.833	18.167	1.000	1.464	0.683	0.857
42	4	481.000	18.000	1.000	1.000	1.000	1.000
43	5	597.700	17.900	1.000	1.553	0.644	0.909
44	16	411.312	20.125	1.000	1.568	0.638	0.914
45	2	431.500	19.000	1.000	2.000	0.500	1.000
46	12	510.167	20.167	0.851	1.389	0.720	0.774
47	12	534.083	20.417	0.781	1.984	0.504	0.828
48	7	554.786	19.071	1.000	1.936	0.517	0.933
49	2	96.000	19.500	1.000	2.000	0.500	1.000
50	17	359.500	21.382	0.985	1.613	0.620	0.850
51	10	461.000	20.500	1.000	1.551	0.645	0.909
52	5	609.900	20.700	1.000	1.553	0.644	0.909
53	3	653.833	19.833	1.000	1.464	0.683	0.857
54	5	754.700	19.900	1.000	1.553	0.644	0.909
55	7	105.500	21.786	1.000	1.069	0.936	0.875
56	1	313.500	20.500	1.000	1.000	1.000	1.000
57	18	442.889	22.278	1.000	1.704	0.587	0.878
58	4	580.000	21.000	1.000	1.000	1.000	1.000
59	8	489.000	22.000	1.000	2.000	0.500	1.000
60	12	541.667	23.250	0.931	1.881	0.532	0.800
61	10	815.700	22.500	1.000	1.236	0.809	0.909
62	1	391.500	22.500	1.000	1.000	1.000	1.000
63	6	421.333	23.333	1.000	1.291	0.775	0.800
64	5	562.900	23.700	1.000	1.553	0.644	0.909
65	5	19.300	23.900	1.000	1.553	0.644	0.909
