 	Area	XM	YM	Circ.	AR	Round	Solidity
1	6	42.000	10.833	0.916	1.809	0.553	0.857
2	2	57.000	10.500	1.000	2.000	0.500	1.000
3	3	67.500	10.500	0.967	3.000	0.333	1.000
4	6	87.833	10.667	0.555	3.550	0.282	0.750
5	2	143.000	10.500	1.000	2.000	0.500	1.000
6	1	287.500	10.500	1.000	1.000	1.000	1.000
7	7	321.786	10.929	1.000	1.936	0.517	0.933
8	9	345.278	10.944	0.923	2.386	0.419	0.947
9	7	375.786	10.929	1.000	1.936	0.517	0.933
10	1	385.500	10.500	1.000	1.000	1.000	1.000
11	6	494.500	11.000	1.000	1.500	0.667	1.000
12	4	512.000	10.500	0.740	4.000	0.250	1.000
13	8	521.000	12.000	1.000	2.000	0.500	1.000
14	7	593.214	10.929	0.943	1.936	0.517	0.933
15	8	736.000	11.000	1.000	2.000	0.500	1.000
16	1	752.500	10.500	1.000	1.000	1.000	1.000
17	3	779.500	10.500	0.967	3.000	0.333	1.000
18	1	809.500	10.500	1.000	1.000	1.000	1.000
19	2	819.000	10.500	1.000	2.000	0.500	1.000
20	4	863.000	10.500	0.740	4.000	0.250	1.000
21	4	902.000	10.500	0.740	4.000	0.250	1.000
22	3	910.500	10.500	0.967	3.000	0.333	1.000
23	2	936.000	10.500	1.000	2.000	0.500	1.000
24	7	657.214	12.500	1.000	1.069	0.936	0.875
25	12	674.167	14.000	1.000	1.281	0.781	0.857
26	9	99.833	14.611	1.000	1.340	0.746	0.857
27	1	109.500	13.500	1.000	1.000	1.000	1.000
28	4	152.000	14.000	1.000	1.000	1.000	1.000
29	6	411.500	14.000	1.000	1.500	0.667	1.000
30	5	629.100	14.300	0.764	2.188	0.457	0.769
31	6	1013.167	15.000	0.809	1.809	0.553	0.857
32	1	188.500	14.500	1.000	1.000	1.000	1.000
33	10	431.800	16.000	0.982	1.643	0.608	0.800
34	2	601.000	14.500	1.000	2.000	0.500	1.000
35	1	692.500	14.500	1.000	1.000	1.000	1.000
36	1	985.500	15.500	1.000	1.000	1.000	1.000
37	1	241.500	16.500	1.000	1.000	1.000	1.000
38	6	843.667	18.333	1.000	1.291	0.775	0.800
39	6	860.333	18.333	1.000	1.291	0.775	0.800
40	9	271.389	19.167	0.799	2.013	0.497	0.783
41	2	463.000	18.500	1.000	2.000	0.500	1.000
42	2	507.000	18.500	1.000	2.000	0.500	1.000
43	2	682.500	19.000	1.000	2.000	0.500	1.000
44	2	778.500	19.000	1.000	2.000	0.500	1.000
45	17	449.206	20.912	1.000	1.276	0.784	0.919
46	7	495.500	20.786	1.000	1.069	0.936	0.875
47	1	930.500	19.500	1.000	1.000	1.000	1.000
48	1	179.500	20.500	1.000	1.000	1.000	1.000
49	1	716.500	20.500	1.000	1.000	1.000	1.000
50	3	161.833	21.833	1.000	1.464	0.683	0.857
51	2	739.500	22.000	1.000	2.000	0.500	1.000
52	1	788.500	21.500	1.000	1.000	1.000	1.000
53	5	392.900	23.700	1.000	1.553	0.644	0.909
54	1	597.500	22.500	1.000	1.000	1.000	1.000
55	1	35.500	23.500	1.000	1.000	1.000	1.000
56	4	586.000	24.000	1.000	1.000	1.000	1.000
57	2	672.500	24.000	1.000	2.000	0.500	1.000
58	7	47.214	25.071	0.943	1.936	0.517	0.933
59	11	88.591	25.864	1.000	1.372	0.729	0.957
60	4	227.000	25.000	1.000	1.000	1.000	1.000
61	2	988.000	24.500	1.000	2.000	0.500	1.000
62	12	171.000	27.000	1.000	1.000	1.000	0.857
63	6	384.833	27.333	0.809	2.237	0.447	0.857
64	3	548.500	26.500	0.809	3.000	0.333	1.000
65	4	849.000	26.000	1.000	1.000	1.000	1.000
66	4	922.500	27.000	1.000	2.031	0.492	0.800
67	7	945.500	27.214	1.000	1.069	0.936	0.875
68	7	107.500	28.500	1.000	1.596	0.626	0.875
69	7	509.500	28.500	1.000	1.596	0.626	0.875
70	7	530.786	28.071	1.000	1.936	0.517	0.933
71	5	684.100	28.700	1.000	1.553	0.644	0.909
72	3	905.833	28.167	1.000	1.464	0.683	0.857
73	2	401.000	29.500	1.000	2.000	0.500	1.000
74	2	621.500	30.000	1.000	2.000	0.500	1.000
75	9	810.389	30.722	0.923	1.539	0.650	0.900
