 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	66.167	10.833	1.000	1.464	0.683	0.857
2	5	93.700	10.900	1.000	1.553	0.644	0.909
3	14	133.357	11.429	1.000	1.662	0.602	0.966
4	3	158.500	10.500	0.967	3.000	0.333	1.000
5	4	255.000	10.500	0.740	4.000	0.250	1.000
6	4	273.500	10.750	1.000	1.468	0.681	0.800
7	2	315.000	10.500	1.000	2.000	0.500	1.000
8	3	362.167	10.833	1.000	1.464	0.683	0.857
9	7	456.357	11.214	1.000	1.380	0.725	0.875
10	9	511.167	12.056	1.000	1.536	0.651	0.857
11	15	546.900	11.900	1.000	1.137	0.880	0.968
12	3	617.500	10.500	0.967	3.000	0.333	1.000
13	1	684.500	10.500	1.000	1.000	1.000	1.000
14	2	791.000	10.500	1.000	2.000	0.500	1.000
15	4	865.500	11.000	1.000	2.031	0.492	0.800
16	1	885.500	10.500	1.000	1.000	1.000	1.000
17	13	972.577	11.423	0.627	2.179	0.459	0.765
18	5	980.300	11.100	1.000	1.553	0.644	0.909
19	8	991.750	11.750	0.914	1.416	0.706	0.800
20	3	1005.500	10.500	0.967	3.000	0.333	1.000
21	3	1012.500	10.500	0.967	3.000	0.333	1.000
22	3	999.833	11.833	1.000	1.464	0.683	0.857
23	5	282.900	13.700	1.000	1.553	0.644	0.909
24	5	425.300	13.100	1.000	1.553	0.644	0.909
25	10	334.300	14.500	1.000	1.236	0.809	0.909
26	1	462.500	14.500	1.000	1.000	1.000	1.000
27	3	291.500	16.500	0.809	3.000	0.333	1.000
28	10	725.600	16.700	1.000	1.288	0.776	0.909
29	7	14.643	17.929	0.800	1.387	0.721	0.737
30	5	588.900	17.700	1.000	1.553	0.644	0.909
31	4	55.750	18.500	0.857	1.468	0.681	0.800
32	14	358.429	19.786	0.750	1.859	0.538	0.800
33	2	393.000	17.500	1.000	2.000	0.500	1.000
34	1	653.500	17.500	1.000	1.000	1.000	1.000
35	10	663.300	18.500	1.000	1.236	0.809	0.909
36	7	171.500	19.500	1.000	1.596	0.626	0.875
37	2	599.500	19.000	1.000	2.000	0.500	1.000
38	4	637.250	19.250	0.857	2.000	0.500	0.800
39	4	755.750	19.500	0.857	1.468	0.681	0.800
40	7	953.500	19.500	1.000	1.596	0.626	0.875
41	9	1000.833	19.389	1.000	1.340	0.746	0.857
42	3	140.167	20.167	1.000	1.464	0.683	0.857
43	8	368.625	20.375	1.000	1.229	0.814	0.941
44	1	374.500	19.500	1.000	1.000	1.000	1.000
45	12	980.000	20.000	0.809	3.000	0.333	1.000
46	5	180.100	22.300	1.000	1.553	0.644	0.909
47	17	767.147	25.265	0.820	1.818	0.550	0.791
48	2	849.500	23.000	1.000	2.000	0.500	1.000
49	1	254.500	23.500	1.000	1.000	1.000	1.000
50	6	575.500	24.000	1.000	1.500	0.667	1.000
51	4	69.000	25.000	1.000	1.000	1.000	1.000
52	7	777.786	25.500	1.000	1.069	0.936	0.875
53	3	79.833	26.167	1.000	1.464	0.683	0.857
54	13	392.885	27.115	1.000	1.159	0.863	0.897
55	2	266.000	26.500	1.000	2.000	0.500	1.000
56	6	320.000	27.500	1.000	1.500	0.667	1.000
57	8	997.125	27.750	1.000	1.605	0.623	0.800
58	3	403.833	28.167	1.000	1.464	0.683	0.857
59	8	1011.500	28.250	0.539	3.759	0.266	0.800
60	2	143.000	28.500	1.000	2.000	0.500	1.000
61	8	973.625	29.625	0.710	1.837	0.544	0.696
62	4	217.750	31.000	0.539	3.093	0.323	0.667
63	7	227.357	31.071	0.800	1.387	0.721	0.737
64	6	524.000	30.500	1.000	1.500	0.667	1.000
65	1	876.500	29.500	1.000	1.000	1.000	1.000
66	8	191.625	31.375	1.000	1.229	0.814	0.941
67	11	373.500	31.500	0.976	1.469	0.681	0.846
68	5	122.900	32.700	1.000	1.553	0.644	0.909
69	5	239.500	32.500	0.873	1.000	1.000	0.714
70	6	451.000	32.500	1.000	1.500	0.667	1.000
71	14	297.857	33.214	0.838	2.223	0.450	0.875
72	2	567.000	32.500	1.000	2.000	0.500	1.000
73	9	778.833	33.389	1.000	1.340	0.746	0.857
74	1	799.500	33.500	1.000	1.000	1.000	1.000
75	4	310.000	35.000	1.000	1.000	1.000	1.000
76	3	594.833	35.167	1.000	1.464	0.683	0.857
77	2	835.500	35.000	1.000	2.000	0.500	1.000
78	5	267.700	35.900	1.000	1.553	0.644	0.909
79	10	336.300	36.800	1.000	1.559	0.641	0.909
80	8	741.875	36.250	1.000	1.605	0.623	0.800
81	2	759.500	36.000	1.000	2.000	0.500	1.000
82	7	987.786	36.643	1.000	1.380	0.725	0.875
83	3	65.167	36.833	1.000	1.464	0.683	0.857
84	1	626.500	36.500	1.000	1.000	1.000	1.000
85	9	996.167	37.389	1.000	1.340	0.746	0.857
86	1	74.500	37.500	1.000	1.000	1.000	1.000
87	4	513.750	38.250	0.857	2.000	0.500	0.800
88	9	575.056	39.722	0.832	2.386	0.419	0.947
89	9	768.278	38.944	0.884	1.709	0.585	0.750
90	8	35.375	39.625	1.000	1.229	0.814	0.941
91	2	161.000	38.500	1.000	2.000	0.500	1.000
92	5	322.300	38.900	1.000	1.553	0.644	0.909
93	6	585.000	39.500	1.000	1.500	0.667	1.000
94	5	972.300	39.100	1.000	1.553	0.644	0.909
95	4	1004.000	39.000	1.000	1.000	1.000	1.000
96	4	45.000	40.500	0.857	2.031	0.492	0.800
97	17	374.088	41.382	1.000	1.263	0.792	0.919
98	1	466.500	39.500	1.000	1.000	1.000	1.000
99	9	887.833	40.389	1.000	1.340	0.746	0.857
100	1	418.500	40.500	1.000	1.000	1.000	1.000
101	3	209.167	41.833	1.000	1.464	0.683	0.857
102	2	334.000	41.500	1.000	2.000	0.500	1.000
103	10	733.400	42.600	0.887	1.577	0.634	0.800
104	9	218.833	43.833	0.884	1.915	0.522	0.783
105	5	284.100	43.700	1.000	1.553	0.644	0.909
106	2	693.000	42.500	1.000	2.000	0.500	1.000
107	11	704.318	44.227	0.887	1.619	0.618	0.846
108	5	714.300	43.100	1.000	1.553	0.644	0.909
109	7	456.786	43.929	1.000	1.936	0.517	0.933
110	7	531.500	44.786	1.000	1.069	0.936	0.875
111	3	834.833	43.833	1.000	1.464	0.683	0.857
112	10	844.000	45.100	0.709	1.528	0.654	0.690
113	7	300.214	44.929	0.943	1.936	0.517	0.933
114	5	1012.300	44.900	1.000	1.553	0.644	0.909
115	3	10.833	45.833	1.000	1.464	0.683	0.857
116	4	62.250	46.500	0.857	1.468	0.681	0.800
117	1	29.500	46.500	1.000	1.000	1.000	1.000
118	3	381.833	47.167	1.000	1.464	0.683	0.857
119	5	643.300	46.900	1.000	1.553	0.644	0.909
120	2	1002.500	47.000	1.000	2.000	0.500	1.000
121	2	353.500	48.000	1.000	2.000	0.500	1.000
122	1	361.500	47.500	1.000	1.000	1.000	1.000
123	3	94.167	48.833	1.000	1.464	0.683	0.857
124	10	724.500	50.000	1.000	1.551	0.645	0.909
125	1	96.500	49.500	1.000	1.000	1.000	1.000
126	5	173.100	50.700	1.000	1.553	0.644	0.909
127	6	210.667	50.667	1.000	1.291	0.775	0.800
128	8	391.625	50.375	1.000	1.229	0.814	0.941
129	11	783.955	51.227	0.780	1.424	0.702	0.733
130	8	939.000	50.000	1.000	2.000	0.500	1.000
131	1	591.500	50.500	1.000	1.000	1.000	1.000
132	4	621.500	51.000	1.000	2.031	0.492	0.800
133	6	735.333	51.667	1.000	1.291	0.775	0.800
134	6	900.333	51.667	1.000	1.291	0.775	0.800
135	1	228.500	51.500	1.000	1.000	1.000	1.000
136	5	17.300	53.300	0.873	2.308	0.433	0.769
137	1	274.500	52.500	1.000	1.000	1.000	1.000
138	5	550.500	53.500	0.873	1.000	1.000	0.714
139	5	793.700	53.900	1.000	1.553	0.644	0.909
140	15	804.900	54.567	0.976	2.148	0.466	0.909
141	2	913.500	54.000	1.000	2.000	0.500	1.000
142	7	993.500	54.786	1.000	1.069	0.936	0.875
143	5	219.300	55.100	1.000	1.553	0.644	0.909
144	5	678.100	55.700	1.000	1.553	0.644	0.909
145	1	1001.500	54.500	1.000	1.000	1.000	1.000
146	17	1010.206	55.382	0.845	2.177	0.459	0.895
147	7	105.643	56.214	1.000	1.380	0.725	0.875
148	4	406.000	56.000	1.000	1.000	1.000	1.000
149	1	443.500	55.500	1.000	1.000	1.000	1.000
150	6	504.500	56.000	1.000	1.500	0.667	1.000
151	10	341.000	57.500	1.000	1.551	0.645	0.909
152	7	382.214	57.500	1.000	1.069	0.936	0.875
153	7	871.500	57.500	1.000	1.596	0.626	0.875
154	11	93.318	58.955	0.976	1.450	0.689	0.846
155	2	166.000	57.500	1.000	2.000	0.500	1.000
156	4	529.000	58.000	1.000	1.000	1.000	1.000
157	4	46.000	59.000	1.000	1.000	1.000	1.000
158	4	127.000	59.000	1.000	1.000	1.000	1.000
159	5	151.300	59.900	1.000	1.553	0.644	0.909
160	2	760.000	59.500	1.000	2.000	0.500	1.000
161	1	769.500	60.500	1.000	1.000	1.000	1.000
162	2	373.500	62.000	1.000	2.000	0.500	1.000
163	1	519.500	61.500	1.000	1.000	1.000	1.000
164	13	784.115	63.115	1.000	1.159	0.863	0.897
165	7	854.786	62.500	1.000	1.069	0.936	0.875
166	2	313.500	63.000	1.000	2.000	0.500	1.000
167	7	664.500	63.786	1.000	1.069	0.936	0.875
168	2	961.000	62.500	1.000	2.000	0.500	1.000
169	8	991.375	63.375	1.000	1.229	0.814	0.941
170	4	84.000	64.000	1.000	1.000	1.000	1.000
171	1	301.500	63.500	1.000	1.000	1.000	1.000
172	10	1008.800	65.200	0.982	1.241	0.806	0.800
173	6	160.333	65.333	1.000	1.291	0.775	0.800
174	9	331.389	65.833	1.000	1.340	0.746	0.857
175	1	803.500	64.500	1.000	1.000	1.000	1.000
176	4	828.750	65.500	0.857	1.468	0.681	0.800
177	8	916.250	65.125	0.914	1.435	0.697	0.842
178	6	927.500	65.000	1.000	1.500	0.667	1.000
179	7	220.786	66.500	1.000	1.069	0.936	0.875
180	3	549.500	65.500	0.967	3.000	0.333	1.000
181	7	614.500	66.500	1.000	1.596	0.626	0.875
182	5	708.900	66.700	1.000	1.553	0.644	0.909
183	2	182.500	67.000	1.000	2.000	0.500	1.000
184	5	412.300	67.100	1.000	1.553	0.644	0.909
185	5	437.900	67.700	1.000	1.553	0.644	0.909
186	1	499.500	66.500	1.000	1.000	1.000	1.000
187	3	870.167	67.167	1.000	1.464	0.683	0.857
188	13	526.423	68.808	1.000	1.145	0.874	0.812
189	4	293.000	69.000	1.000	1.000	1.000	1.000
190	10	727.000	69.500	1.000	1.551	0.645	0.909
191	15	763.033	70.633	1.000	1.127	0.887	0.857
192	7	322.929	70.786	0.943	1.936	0.517	0.933
193	9	487.500	70.500	1.000	1.000	1.000	1.000
194	7	30.500	72.500	1.000	1.596	0.626	0.875
195	6	191.333	72.333	1.000	1.291	0.775	0.800
196	2	247.500	72.000	1.000	2.000	0.500	1.000
197	6	689.000	72.500	1.000	1.500	0.667	1.000
198	9	777.833	72.389	0.638	2.326	0.430	0.750
199	8	517.375	73.625	1.000	1.229	0.814	0.941
200	1	773.500	72.500	1.000	1.000	1.000	1.000
201	10	796.800	73.300	0.806	2.198	0.455	0.833
202	7	905.214	73.500	1.000	1.069	0.936	0.875
203	2	544.500	74.000	1.000	2.000	0.500	1.000
204	1	267.500	74.500	1.000	1.000	1.000	1.000
205	3	562.833	74.833	1.000	1.464	0.683	0.857
206	13	118.269	76.500	0.846	1.680	0.595	0.897
207	11	592.864	76.591	1.000	1.372	0.729	0.957
208	1	404.500	76.500	1.000	1.000	1.000	1.000
209	5	582.500	77.500	0.873	1.000	1.000	0.714
210	2	40.500	78.000	1.000	2.000	0.500	1.000
211	1	86.500	77.500	1.000	1.000	1.000	1.000
212	4	390.000	78.000	1.000	1.000	1.000	1.000
213	2	845.500	78.000	1.000	2.000	0.500	1.000
214	6	917.667	78.333	1.000	1.291	0.775	0.800
