 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	54.500	10.500	0.967	3.000	0.333	1.000
2	3	113.833	10.833	1.000	1.464	0.683	0.857
3	3	123.500	10.500	0.967	3.000	0.333	1.000
4	5	133.700	10.900	1.000	1.553	0.644	0.909
5	3	150.500	10.500	0.967	3.000	0.333	1.000
6	3	170.500	10.500	0.967	3.000	0.333	1.000
7	1	242.500	10.500	1.000	1.000	1.000	1.000
8	5	251.700	10.900	1.000	1.553	0.644	0.909
9	1	306.500	10.500	1.000	1.000	1.000	1.000
10	6	315.500	11.000	1.000	1.500	0.667	1.000
11	5	337.500	10.500	0.599	5.000	0.200	1.000
12	7	438.214	10.929	0.943	1.936	0.517	0.933
13	11	543.773	11.227	0.887	1.603	0.624	0.880
14	5	603.300	10.900	1.000	1.553	0.644	0.909
15	9	728.833	11.389	1.000	1.340	0.746	0.857
16	4	823.000	10.500	0.740	4.000	0.250	1.000
17	2	837.000	10.500	1.000	2.000	0.500	1.000
18	1	845.500	10.500	1.000	1.000	1.000	1.000
19	2	972.000	11.000	0.785	2.646	0.378	0.667
20	1	179.500	11.500	1.000	1.000	1.000	1.000
21	3	510.167	11.833	1.000	1.464	0.683	0.857
22	8	707.000	12.500	1.000	1.195	0.837	0.800
23	7	290.071	13.786	0.898	1.668	0.600	0.778
24	17	382.088	13.912	0.911	1.609	0.622	0.829
25	4	460.000	13.000	1.000	1.000	1.000	1.000
26	9	580.944	13.833	0.884	1.390	0.720	0.750
27	5	980.700	13.100	1.000	1.553	0.644	0.909
28	4	473.500	14.250	1.000	1.468	0.681	0.800
29	1	857.500	13.500	1.000	1.000	1.000	1.000
30	2	970.500	14.000	1.000	2.000	0.500	1.000
31	1	593.500	15.500	1.000	1.000	1.000	1.000
32	1	619.500	15.500	1.000	1.000	1.000	1.000
33	13	667.038	16.423	0.846	2.621	0.381	0.839
34	15	366.900	18.767	0.976	1.369	0.731	0.857
35	6	517.000	18.000	0.809	2.082	0.480	0.857
36	6	635.333	17.333	1.000	1.291	0.775	0.800
37	1	737.500	16.500	1.000	1.000	1.000	1.000
38	1	760.500	16.500	1.000	1.000	1.000	1.000
39	11	946.136	17.864	0.976	1.450	0.690	0.815
40	4	101.000	18.000	1.000	1.000	1.000	1.000
41	5	345.700	17.900	1.000	1.553	0.644	0.909
42	5	489.100	18.300	1.000	1.553	0.644	0.909
43	8	572.375	18.625	1.000	1.229	0.814	0.941
44	7	829.071	19.214	0.943	1.936	0.517	0.933
45	2	871.500	18.000	1.000	2.000	0.500	1.000
46	8	963.250	18.750	0.914	1.416	0.706	0.800
47	3	43.167	19.167	1.000	1.464	0.683	0.857
48	4	71.000	19.000	1.000	1.000	1.000	1.000
49	11	780.318	20.045	0.976	1.450	0.689	0.846
50	4	62.000	20.000	1.000	1.000	1.000	1.000
51	1	275.500	19.500	1.000	1.000	1.000	1.000
52	7	388.500	20.786	1.000	1.069	0.936	0.875
53	3	931.500	19.500	0.967	3.000	0.333	1.000
54	9	52.500	21.500	1.000	1.000	1.000	1.000
55	1	178.500	20.500	1.000	1.000	1.000	1.000
56	2	534.500	21.000	1.000	2.000	0.500	1.000
57	7	610.214	21.071	0.943	1.936	0.517	0.933
58	4	660.000	21.000	1.000	1.000	1.000	1.000
59	9	789.389	22.167	1.000	1.340	0.746	0.857
60	2	687.500	22.000	1.000	2.000	0.500	1.000
61	3	799.833	21.833	1.000	1.464	0.683	0.857
62	1	80.500	22.500	1.000	1.000	1.000	1.000
63	7	507.929	24.214	0.943	1.936	0.517	0.933
