 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	234.000	10.500	1.000	2.000	0.500	1.000
2	17	271.676	11.265	0.786	2.467	0.405	0.895
3	3	319.833	10.833	1.000	1.464	0.683	0.857
4	15	401.700	11.233	0.694	2.125	0.471	0.857
5	6	433.667	11.167	0.769	2.519	0.397	0.706
6	6	450.000	10.500	0.503	6.000	0.167	1.000
7	4	474.000	10.500	0.740	4.000	0.250	1.000
8	1	510.500	10.500	1.000	1.000	1.000	1.000
9	11	540.591	11.227	0.887	1.592	0.628	0.846
10	4	562.500	11.250	1.000	1.468	0.681	0.800
11	2	579.000	10.500	1.000	2.000	0.500	1.000
12	7	640.786	10.929	1.000	1.936	0.517	0.933
13	2	667.000	10.500	1.000	2.000	0.500	1.000
14	10	682.000	11.300	1.000	1.327	0.753	0.909
15	2	695.000	10.500	1.000	2.000	0.500	1.000
16	2	773.000	10.500	1.000	2.000	0.500	1.000
17	1	796.500	10.500	1.000	1.000	1.000	1.000
18	1	817.500	10.500	1.000	1.000	1.000	1.000
19	4	834.000	10.500	0.740	4.000	0.250	1.000
20	2	880.000	10.500	1.000	2.000	0.500	1.000
21	6	889.500	11.000	1.000	1.500	0.667	1.000
22	4	896.000	11.000	1.000	1.000	1.000	1.000
23	1	928.500	10.500	1.000	1.000	1.000	1.000
24	2	413.000	11.500	1.000	2.000	0.500	1.000
25	10	497.200	12.300	1.000	1.559	0.641	0.909
26	4	586.500	11.750	1.000	1.468	0.681	0.800
27	8	297.625	13.625	1.000	1.229	0.814	0.941
28	2	612.500	13.000	1.000	2.000	0.500	1.000
29	4	631.000	13.000	1.000	1.000	1.000	1.000
30	9	727.500	13.500	1.000	1.000	1.000	1.000
31	1	914.500	12.500	1.000	1.000	1.000	1.000
32	1	245.500	13.500	1.000	1.000	1.000	1.000
33	3	986.167	15.167	1.000	1.464	0.683	0.857
34	4	931.500	15.750	1.000	1.468	0.681	0.800
35	18	383.500	18.000	1.000	1.362	0.734	0.947
36	1	603.500	16.500	1.000	1.000	1.000	1.000
