 	Area	XM	YM	Circ.	AR	Round	Solidity
1	6	12.000	11.500	1.000	1.500	0.667	1.000
2	8	39.375	11.375	1.000	1.229	0.814	0.941
3	1	49.500	10.500	1.000	1.000	1.000	1.000
4	9	61.278	10.944	0.923	2.386	0.419	0.947
5	8	75.500	10.875	0.820	2.232	0.448	0.889
6	12	126.167	12.000	1.000	1.281	0.781	0.857
7	8	158.375	11.375	1.000	1.229	0.814	0.941
8	7	198.214	10.643	0.515	3.856	0.259	0.737
9	9	263.500	11.500	1.000	1.000	1.000	1.000
10	5	447.900	10.700	0.764	2.188	0.457	0.769
11	2	476.000	10.500	1.000	2.000	0.500	1.000
12	7	536.500	11.214	1.000	1.069	0.936	0.875
13	4	544.250	11.250	0.857	2.000	0.500	0.800
14	11	559.955	12.136	1.000	1.139	0.878	0.815
15	3	705.833	10.833	1.000	1.464	0.683	0.857
16	8	784.000	11.000	1.000	2.000	0.500	1.000
17	4	866.000	10.500	0.740	4.000	0.250	1.000
18	16	999.688	12.000	1.000	1.371	0.729	0.889
19	14	1010.714	11.286	0.911	1.851	0.540	0.903
20	1	182.500	11.500	1.000	1.000	1.000	1.000
21	5	323.900	12.700	1.000	1.553	0.644	0.909
22	3	623.833	11.833	1.000	1.464	0.683	0.857
23	8	696.375	12.625	1.000	1.229	0.814	0.941
24	1	757.500	11.500	1.000	1.000	1.000	1.000
25	6	993.500	12.000	1.000	1.500	0.667	1.000
26	8	299.500	14.000	0.914	1.195	0.837	0.800
27	1	871.500	12.500	1.000	1.000	1.000	1.000
28	10	428.700	14.700	0.709	2.638	0.379	0.769
29	5	970.700	13.900	1.000	1.553	0.644	0.909
30	1	974.500	14.500	1.000	1.000	1.000	1.000
31	5	239.700	15.900	1.000	1.553	0.644	0.909
32	7	376.214	16.643	1.000	1.380	0.725	0.875
33	1	919.500	15.500	1.000	1.000	1.000	1.000
34	2	947.000	15.500	1.000	2.000	0.500	1.000
35	9	70.167	18.611	1.000	1.340	0.746	0.857
36	3	516.833	18.167	1.000	1.464	0.683	0.857
37	1	742.500	17.500	1.000	1.000	1.000	1.000
38	6	1013.167	20.000	0.809	1.809	0.553	0.857
39	2	416.000	19.500	1.000	2.000	0.500	1.000
40	4	470.000	20.000	1.000	1.000	1.000	1.000
