 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	62.500	10.500	1.000	1.000	1.000	1.000
2	5	186.300	10.900	1.000	1.553	0.644	0.909
3	2	315.000	10.500	1.000	2.000	0.500	1.000
4	1	391.500	10.500	1.000	1.000	1.000	1.000
5	10	553.000	11.500	1.000	1.551	0.645	0.909
6	8	606.375	11.375	1.000	1.229	0.814	0.941
7	6	614.500	11.000	1.000	1.500	0.667	1.000
8	1	656.500	10.500	1.000	1.000	1.000	1.000
9	1	671.500	10.500	1.000	1.000	1.000	1.000
10	2	693.500	11.000	1.000	2.000	0.500	1.000
11	1	724.500	10.500	1.000	1.000	1.000	1.000
12	2	751.000	10.500	1.000	2.000	0.500	1.000
13	2	768.000	10.500	1.000	2.000	0.500	1.000
14	3	781.500	10.500	0.967	3.000	0.333	1.000
15	1	790.500	10.500	1.000	1.000	1.000	1.000
16	2	811.000	10.500	1.000	2.000	0.500	1.000
17	3	817.500	10.500	0.967	3.000	0.333	1.000
18	4	12.000	12.000	1.000	1.000	1.000	1.000
19	1	502.500	11.500	1.000	1.000	1.000	1.000
20	1	533.500	11.500	1.000	1.000	1.000	1.000
21	6	561.500	12.000	1.000	1.500	0.667	1.000
22	5	712.900	12.700	1.000	1.553	0.644	0.909
23	1	722.500	11.500	1.000	1.000	1.000	1.000
24	5	879.100	12.300	1.000	1.553	0.644	0.909
25	13	1012.269	12.885	1.000	1.093	0.915	0.897
26	2	299.500	13.000	1.000	2.000	0.500	1.000
27	4	439.000	13.000	1.000	1.000	1.000	1.000
28	4	465.000	13.000	1.000	1.000	1.000	1.000
29	6	196.000	15.000	0.809	2.082	0.480	0.857
30	10	620.300	15.000	1.000	1.327	0.753	0.909
31	4	975.500	13.750	1.000	1.468	0.681	0.800
32	10	168.500	16.000	1.000	1.551	0.645	0.909
33	2	260.000	14.500	1.000	2.000	0.500	1.000
34	11	340.136	15.591	1.000	1.372	0.729	0.957
35	1	353.500	14.500	1.000	1.000	1.000	1.000
36	3	470.833	15.167	1.000	1.464	0.683	0.857
37	7	484.500	15.500	1.000	1.596	0.626	0.875
38	5	664.900	15.700	1.000	1.553	0.644	0.909
39	1	703.500	15.500	1.000	1.000	1.000	1.000
40	5	810.900	16.700	1.000	1.553	0.644	0.909
41	3	964.167	16.167	1.000	1.464	0.683	0.857
42	4	367.000	17.000	1.000	1.000	1.000	1.000
43	13	451.731	18.269	1.000	1.370	0.730	0.929
44	10	513.700	17.900	0.982	1.587	0.630	0.800
45	5	225.700	18.100	1.000	1.553	0.644	0.909
46	7	759.357	19.214	0.800	1.895	0.528	0.737
47	5	770.300	17.900	1.000	1.553	0.644	0.909
48	4	416.750	19.250	0.857	2.000	0.500	0.800
49	2	843.500	19.000	1.000	2.000	0.500	1.000
50	7	502.500	20.786	1.000	1.069	0.936	0.875
51	1	609.500	19.500	1.000	1.000	1.000	1.000
52	6	724.667	20.667	1.000	1.291	0.775	0.800
53	2	102.500	21.000	1.000	2.000	0.500	1.000
54	3	293.167	20.833	1.000	1.464	0.683	0.857
55	3	359.833	21.167	1.000	1.464	0.683	0.857
56	8	695.250	22.250	0.914	1.416	0.706	0.800
57	1	611.500	21.500	1.000	1.000	1.000	1.000
58	8	686.500	23.000	0.914	1.195	0.837	0.800
59	3	784.833	22.167	1.000	1.464	0.683	0.857
60	14	926.000	23.214	1.000	1.125	0.889	0.933
61	11	178.136	24.045	1.000	1.139	0.878	0.815
62	10	1012.200	23.700	1.000	1.559	0.641	0.909
63	3	21.167	23.833	1.000	1.464	0.683	0.857
64	7	31.214	24.500	1.000	1.069	0.936	0.875
65	7	159.357	24.929	0.800	2.041	0.490	0.778
66	2	977.000	24.000	0.785	2.646	0.378	0.667
67	2	987.000	23.500	1.000	2.000	0.500	1.000
68	2	63.500	25.000	1.000	2.000	0.500	1.000
69	5	93.100	25.700	1.000	1.553	0.644	0.909
70	5	264.100	25.300	1.000	1.553	0.644	0.909
71	1	775.500	24.500	1.000	1.000	1.000	1.000
72	5	213.500	26.500	0.873	1.000	1.000	0.714
